CD_BAIRRO,NM_BAIRRO,nome_bairro_normalizado,NM_NU,AREA_KM2,v0001,v0002,v0003,v0004
2611606001,Recife,RECIFE,,"1,2355920",541,224,222,2
2611606002,Santo Amaro,SANTO AMARO,,"3,3778321",27103,11661,11629,32
2611606003,Boa Vista,BOA VISTA,,"1,7697463",13147,8328,8266,62
2611606004,Soledade,SOLEDADE,,"0,3234122",2081,1553,1545,8
2611606005,Santo Antônio,SANTO ANTONIO,,"0,5177116",447,324,324,0
2611606006,Paissandu,PAISSANDU,,"0,3450973",568,348,348,0
2611606007,Ilha do Leite,ILHA DO LEITE,,"0,2622270",990,757,755,2
2611606008,Coelhos,COELHOS,,"0,4251229",5923,2538,2525,13
2611606009,Ilha Joana Bezerra,ILHA JOANA BEZERRA,,"1,1688231",12257,4766,4765,1
2611606010,Cabanga,CABANGA,,"0,5651980",1831,835,834,1
2611606011,São José,SAO JOSE,,"1,7752173",8876,3906,3898,8
2611606012,Derby,DERBY,,"0,4756655",1867,865,861,4
2611606013,Graças,GRACAS,,"1,4344563",19694,9071,9065,6
2611606014,Jaqueira,JAQUEIRA,,"0,2409585",1342,627,627,0
2611606015,Aflitos,AFLITOS,,"0,3066950",4990,2252,2252,0
2611606016,Espinheiro,ESPINHEIRO,,"0,7344293",10741,5069,5066,3
2611606017,Rosarinho,ROSARINHO,,"0,2552184",7271,3210,3209,1
2611606018,Tamarineira,TAMARINEIRA,,"1,0218287",13236,5671,5664,7
2611606019,Peixinhos,PEIXINHOS,,"0,3424084",2915,1218,1218,0
2611606020,Campina do Barreto,CAMPINA DO BARRETO,,"0,5419163",8757,3508,3508,0
2611606021,Arruda,ARRUDA,,"0,9846730",12797,5904,5904,0
2611606022,Ponto de Parada,PONTO DE PARADA,,"0,1909119",2382,1053,1053,0
2611606023,Hipódromo,HIPODROMO,,"0,3011379",2091,952,952,0
2611606024,Campo Grande,CAMPO GRANDE,,"2,2489623",31783,13185,13178,7
2611606025,Encruzilhada,ENCRUZILHADA,,"1,0165276",15249,6868,6853,15
2611606026,Torreão,TORREAO,,"0,1618026",1566,732,731,1
2611606027,Passarinho,PASSARINHO,,"4,0473601",24306,9764,9763,1
2611606028,Dois Unidos,DOIS UNIDOS,,"3,1479195",31437,12580,12576,4
2611606029,Linha do Tiro,LINHA DO TIRO,,"0,8130743",14202,5622,5622,0
2611606030,Beberibe,BEBERIBE,,"0,4891310",7089,2936,2936,0
2611606031,Alto Santa Terezinha,ALTO SANTA TEREZINHA,,"0,3145725",6620,2611,2611,0
2611606032,Porto da Madeira,PORTO DA MADEIRA,,"0,4813012",6495,2673,2673,0
2611606033,Cajueiro,CAJUEIRO,,"0,5832123",5062,2311,2311,0
2611606034,Fundão,FUNDAO,,"0,6268462",7793,3209,3209,0
2611606035,Água Fria,AGUA FRIA,,"1,9229279",39012,15328,15328,0
2611606036,Bomba do Hemetério,BOMBA DO HEMETERIO,,"0,4317297",7728,3035,3035,0
2611606037,Pau Ferro,PAU FERRO,,"0,4372672",89,33,33,0
2611606038,Guabiraba,GUABIRABA,,"46,1197298",11095,5149,5146,3
2611606039,Sítio dos Pintos - São Brás,SITIO DOS PINTOS,,"1,6609848",7996,3656,3655,1
2611606040,Dois Irmãos,DOIS IRMAOS,,"5,9968152",3026,1313,1311,2
2611606041,Brejo da Guabiraba,BREJO DA GUABIRABA,,"0,7894396",10620,4475,4475,0
2611606042,Córrego do Jenipapo,CORREGO DO JENIPAPO,,"0,6084632",8086,3406,3406,0
2611606043,Apipucos,APIPUCOS,,"1,3045440",2523,991,990,1
2611606044,Macaxeira,MACAXEIRA,,"1,2494318",20126,7843,7843,0
2611606045,Nova Descoberta,NOVA DESCOBERTA,,"1,8258666",28697,11904,11904,0
2611606046,Brejo de Beberibe,BREJO DE BEBERIBE,,"0,6494742",7738,3234,3234,0
2611606047,Alto do Mandu,ALTO DO MANDU,,"0,2484931",4221,1697,1696,1
2611606048,Casa Amarela,CASA AMARELA,,"1,8837989",32450,14083,14076,7
2611606049,Vasco da Gama,VASCO DA GAMA,,"1,5996250",26631,10773,10773,0
2611606050,Alto José Bonifácio,ALTO JOSE BONIFACIO,,"0,5683990",10365,4028,4028,0
2611606051,Morro da Conceição,MORRO DA CONCEICAO,,"0,3793825",8217,3298,3297,1
2611606052,Alto José do Pinho,ALTO JOSE DO PINHO,,"0,4138607",11313,4352,4351,1
2611606053,Mangabeira,MANGABEIRA,,"0,2872779",6397,2630,2629,1
2611606054,Parnamirim,PARNAMIRIM,,"0,6121962",6954,2957,2957,0
2611606055,Casa Forte,CASA FORTE,,"0,5609169",6307,2571,2568,3
2611606056,Santana,SANTANA,,"0,4750474",2574,1169,1167,2
2611606057,Poço,POCO,,"0,7959916",5542,2215,2214,1
2611606058,Monteiro,MONTEIRO,,"0,5480677",6738,2603,2602,1
2611606059,Torre,TORRE,,"1,1705003",20872,9419,9415,4
2611606060,Cordeiro,CORDEIRO,,"3,3987317",37660,16252,16241,11
2611606061,Zumbí,ZUMBI,,"0,4087344",4763,2327,2327,0
2611606062,Madalena,MADALENA,,"1,8327215",25832,11785,11773,12
2611606063,Prado,PRADO,,"1,2582023",11412,4915,4907,8
2611606064,Ilha do Retiro,ILHA DO RETIRO,,"0,5425975",3946,1655,1655,0
2611606065,Bongi,BONGI,,"0,5999096",7060,2961,2957,4
2611606066,San Martin,SAN MARTIN,,"2,0590268",23074,9496,9494,2
2611606067,Mustardinha,MUSTARDINHA,,"0,6390677",10642,4350,4349,1
2611606068,Mangueira,MANGUEIRA,,"0,3151044",7664,3240,3240,0
2611606069,Várzea,VARZEA,,"22,4718553",70946,31183,31150,33
2611606070,Caxangá,CAXANGA,,"2,4675028",13813,6175,6173,2
2611606071,Iputinga,IPUTINGA,,"4,3254877",49944,21724,21710,14
2611606072,Torrões,TORROES,,"1,6778156",31130,12434,12432,2
2611606073,Engenho do Meio,ENGENHO DO MEIO,,"0,8533891",9849,4058,4050,8
2611606074,Cidade Universitária,CIDADE UNIVERSITARIA,,"1,6554332",1819,848,846,2
2611606075,Afogados,AFOGADOS,,"3,3889421",31457,13930,13926,4
2611606076,Jiquiá,JIQUIA,,"1,6750117",12051,5295,5295,0
2611606077,Estância,ESTANCIA,,"0,8062426",7408,3323,3321,2
2611606078,Areias,AREIAS,,"2,3952932",26740,11356,11352,4
2611606079,Caçote,CACOTE,,"0,4551826",8738,3698,3698,0
2611606080,Curado,CURADO,,"8,0146592",16559,7033,7023,10
2611606081,Totó,TOTO,,"0,1371927",2074,880,880,0
2611606082,Coqueiral,COQUEIRAL,,"0,5166137",9427,4189,4189,0
2611606083,Sancho,SANCHO,,"0,6319870",12768,3082,3079,3
2611606084,Tejipió,TEJIPIO,,"0,9741376",9835,4571,4571,0
2611606085,Jardim São Paulo,JARDIM SAO PAULO,,"2,5524396",29996,13160,13160,0
2611606086,Barro,BARRO,,"4,4068928",30565,12864,12860,4
2611606087,Cohab,COHAB,,"4,3283171",62632,25723,25719,4
2611606088,Jordão,JORDAO,,"1,5769349",20449,8233,8233,0
2611606089,Ibura,IBURA,,"10,1727693",45448,19061,19057,4
2611606090,Ipsep,IPSEP,,"1,7868120",20610,9168,9164,4
2611606091,Imbiribeira,IMBIRIBEIRA,,"6,6530012",52158,22330,22318,12
2611606092,Boa Viagem,BOA VIAGEM,,"7,7622595",125805,62639,62388,251
2611606093,Pina,PINA,,"6,3687111",29195,13954,13939,15
2611606094,Brasília Teimosa,BRASILIA TEIMOSA,,"0,6396019",16685,7028,7028,0
