agravo,variavel_climatica,tipo_serie,ajustada_por_sazonalidade,lag_semanas,correlacao_spearman,p_value,n_observacoes,confiavel
DENGUE,precipitacao,casos,False,0,0.1427,0.0002,679,True
DENGUE,precipitacao,casos,False,1,0.1453,0.0001,678,True
DENGUE,precipitacao,casos,False,2,0.1719,0.0,677,True
DENGUE,precipitacao,casos,False,3,0.1705,0.0,676,True
DENGUE,precipitacao,casos,False,4,0.1665,0.0,675,True
DENGUE,precipitacao,casos,False,5,0.1558,0.0,674,True
DENGUE,precipitacao,casos,False,6,0.1581,0.0,673,True
DENGUE,precipitacao,casos,False,7,0.1474,0.0001,672,True
DENGUE,precipitacao,casos,False,8,0.1596,0.0,671,True
DENGUE,precipitacao,casos,False,9,0.1397,0.0003,670,True
DENGUE,precipitacao,casos,False,10,0.1233,0.0014,669,True
DENGUE,precipitacao,casos,False,11,0.099,0.0105,668,True
DENGUE,precipitacao,casos,False,12,0.0969,0.0122,667,True
DENGUE,precipitacao,casos,True,0,-0.0151,0.6937,679,True
DENGUE,precipitacao,casos,True,1,-0.0016,0.9677,678,True
DENGUE,precipitacao,casos,True,2,0.0141,0.7138,677,True
DENGUE,precipitacao,casos,True,3,0.0034,0.9297,676,True
DENGUE,precipitacao,casos,True,4,-0.0118,0.7596,675,True
DENGUE,precipitacao,casos,True,5,-0.0171,0.6575,674,True
DENGUE,precipitacao,casos,True,6,-0.0501,0.1941,673,True
DENGUE,precipitacao,casos,True,7,-0.0304,0.432,672,True
DENGUE,precipitacao,casos,True,8,-0.0336,0.3844,671,True
DENGUE,precipitacao,casos,True,9,-0.0445,0.2499,670,True
DENGUE,precipitacao,casos,True,10,-0.0672,0.0824,669,True
DENGUE,precipitacao,casos,True,11,-0.0592,0.1266,668,True
DENGUE,precipitacao,casos,True,12,-0.0607,0.1171,667,True
DENGUE,precipitacao,incidencia,False,0,0.1484,0.0001,679,True
DENGUE,precipitacao,incidencia,False,1,0.1515,0.0001,678,True
DENGUE,precipitacao,incidencia,False,2,0.1778,0.0,677,True
DENGUE,precipitacao,incidencia,False,3,0.1765,0.0,676,True
DENGUE,precipitacao,incidencia,False,4,0.1735,0.0,675,True
DENGUE,precipitacao,incidencia,False,5,0.1621,0.0,674,True
DENGUE,precipitacao,incidencia,False,6,0.1647,0.0,673,True
DENGUE,precipitacao,incidencia,False,7,0.1541,0.0001,672,True
DENGUE,precipitacao,incidencia,False,8,0.1665,0.0,671,True
DENGUE,precipitacao,incidencia,False,9,0.1457,0.0002,670,True
DENGUE,precipitacao,incidencia,False,10,0.1298,0.0008,669,True
DENGUE,precipitacao,incidencia,False,11,0.1056,0.0063,668,True
DENGUE,precipitacao,incidencia,False,12,0.1032,0.0076,667,True
DENGUE,precipitacao,incidencia,True,0,-0.012,0.7554,679,True
DENGUE,precipitacao,incidencia,True,1,0.002,0.9596,678,True
DENGUE,precipitacao,incidencia,True,2,0.0166,0.667,677,True
DENGUE,precipitacao,incidencia,True,3,0.0063,0.8698,676,True
DENGUE,precipitacao,incidencia,True,4,-0.0097,0.8018,675,True
DENGUE,precipitacao,incidencia,True,5,-0.0148,0.7022,674,True
DENGUE,precipitacao,incidencia,True,6,-0.0472,0.221,673,True
DENGUE,precipitacao,incidencia,True,7,-0.0279,0.47,672,True
DENGUE,precipitacao,incidencia,True,8,-0.0303,0.4334,671,True
DENGUE,precipitacao,incidencia,True,9,-0.0421,0.2764,670,True
DENGUE,precipitacao,incidencia,True,10,-0.0651,0.0922,669,True
DENGUE,precipitacao,incidencia,True,11,-0.0561,0.1473,668,True
DENGUE,precipitacao,incidencia,True,12,-0.0581,0.1337,667,True
DENGUE,temperatura_media,casos,False,0,-0.1075,0.0051,679,True
DENGUE,temperatura_media,casos,False,1,-0.0888,0.0207,678,True
DENGUE,temperatura_media,casos,False,2,-0.0649,0.0913,677,True
DENGUE,temperatura_media,casos,False,3,-0.0454,0.2389,676,True
DENGUE,temperatura_media,casos,False,4,-0.0107,0.7805,675,True
DENGUE,temperatura_media,casos,False,5,0.0187,0.6281,674,True
DENGUE,temperatura_media,casos,False,6,0.0394,0.3069,673,True
DENGUE,temperatura_media,casos,False,7,0.0726,0.0601,672,True
DENGUE,temperatura_media,casos,False,8,0.0935,0.0154,671,True
DENGUE,temperatura_media,casos,False,9,0.1238,0.0013,670,True
