id_semana_epi,agravo,ano_epidemiologico,semana_epidemiologica,is_observado,casos,banda_80_inferior,banda_80_superior,banda_95_inferior,banda_95_superior
201301,DENGUE,2013,1,True,8,,,,
201302,DENGUE,2013,2,True,23,,,,
201303,DENGUE,2013,3,True,29,,,,
201304,DENGUE,2013,4,True,18,,,,
201305,DENGUE,2013,5,True,30,,,,
201306,DENGUE,2013,6,True,26,,,,
201307,DENGUE,2013,7,True,36,,,,
201308,DENGUE,2013,8,True,46,,,,
201309,DENGUE,2013,9,True,50,,,,
201310,DENGUE,2013,10,True,47,,,,
201311,DENGUE,2013,11,True,49,,,,
201312,DENGUE,2013,12,True,54,,,,
201313,DENGUE,2013,13,True,64,,,,
201314,DENGUE,2013,14,True,166,,,,
201315,DENGUE,2013,15,True,140,,,,
201316,DENGUE,2013,16,True,135,,,,
201317,DENGUE,2013,17,True,155,,,,
201318,DENGUE,2013,18,True,134,,,,
201319,DENGUE,2013,19,True,211,,,,
201320,DENGUE,2013,20,True,141,,,,
201321,DENGUE,2013,21,True,156,,,,
201322,DENGUE,2013,22,True,139,,,,
201323,DENGUE,2013,23,True,120,,,,
201324,DENGUE,2013,24,True,86,,,,
201325,DENGUE,2013,25,True,79,,,,
201326,DENGUE,2013,26,True,55,,,,
201327,DENGUE,2013,27,True,58,,,,
201328,DENGUE,2013,28,True,36,,,,
201329,DENGUE,2013,29,True,47,,,,
201330,DENGUE,2013,30,True,59,,,,
201331,DENGUE,2013,31,True,54,,,,
201332,DENGUE,2013,32,True,54,,,,
201333,DENGUE,2013,33,True,44,,,,
201334,DENGUE,2013,34,True,33,,,,
201335,DENGUE,2013,35,True,45,,,,
201336,DENGUE,2013,36,True,27,,,,
201337,DENGUE,2013,37,True,29,,,,
201338,DENGUE,2013,38,True,33,,,,
201339,DENGUE,2013,39,True,21,,,,
201340,DENGUE,2013,40,True,58,,,,
201341,DENGUE,2013,41,True,31,,,,
201342,DENGUE,2013,42,True,36,,,,
201343,DENGUE,2013,43,True,71,,,,
201344,DENGUE,2013,44,True,47,,,,
201345,DENGUE,2013,45,True,42,,,,
201346,DENGUE,2013,46,True,22,,,,
201347,DENGUE,2013,47,True,28,,,,
201348,DENGUE,2013,48,True,35,,,,
201349,DENGUE,2013,49,True,38,,,,
201350,DENGUE,2013,50,True,23,,,,
201351,DENGUE,2013,51,True,26,,,,
201352,DENGUE,2013,52,True,26,,,,
201401,DENGUE,2014,1,True,20,,,,
201402,DENGUE,2014,2,True,36,,,,
201403,DENGUE,2014,3,True,31,,,,
201404,DENGUE,2014,4,True,38,,,,
201405,DENGUE,2014,5,True,58,,,,
201406,DENGUE,2014,6,True,40,,,,
201407,DENGUE,2014,7,True,37,,,,
201408,DENGUE,2014,8,True,51,,,,
201409,DENGUE,2014,9,True,44,,,,
201410,DENGUE,2014,10,True,21,,,,
201411,DENGUE,2014,11,True,48,,,,
201412,DENGUE,2014,12,True,48,,,,
201413,DENGUE,2014,13,True,38,,,,
201414,DENGUE,2014,14,True,34,,,,
201415,DENGUE,2014,15,True,39,,,,
201416,DENGUE,2014,16,True,46,,,,
201417,DENGUE,2014,17,True,51,,,,
201418,DENGUE,2014,18,True,45,,,,
201419,DENGUE,2014,19,True,61,,,,
201420,DENGUE,2014,20,True,57,,,,
201421,DENGUE,2014,21,True,76,,,,
201422,DENGUE,2014,22,True,61,,,,
201423,DENGUE,2014,23,True,52,,,,
201424,DENGUE,2014,24,True,47,,,,
201425,DENGUE,2014,25,True,31,,,,
201426,DENGUE,2014,26,True,29,,,,
201427,DENGUE,2014,27,True,16,,,,
201428,DENGUE,2014,28,True,26,,,,
201429,DENGUE,2014,29,True,15,,,,
201430,DENGUE,2014,30,True,4,,,,
201431,DENGUE,2014,31,True,1,,,,
201432,DENGUE,2014,32,True,0,,,,
201433,DENGUE,2014,33,True,0,,,,
201434,DENGUE,2014,34,True,0,,,,
201435,DENGUE,2014,35,True,0,,,,
201436,DENGUE,2014,36,True,0,,,,
201437,DENGUE,2014,37,True,0,,,,
201438,DENGUE,2014,38,True,0,,,,
201439,DENGUE,2014,39,True,0,,,,
201440,DENGUE,2014,40,True,0,,,,
201441,DENGUE,2014,41,True,0,,,,
201442,DENGUE,2014,42,True,0,,,,
201443,DENGUE,2014,43,True,0,,,,
201444,DENGUE,2014,44,True,0,,,,
201445,DENGUE,2014,45,True,0,,,,
201446,DENGUE,2014,46,True,0,,,,
201447,DENGUE,2014,47,True,0,,,,
201448,DENGUE,2014,48,True,0,,,,
201449,DENGUE,2014,49,True,0,,,,
201450,DENGUE,2014,50,True,0,,,,
201451,DENGUE,2014,51,True,0,,,,
201452,DENGUE,2014,52,True,0,,,,
201453,DENGUE,2014,53,True,0,,,,
201501,DENGUE,2015,1,True,131,,,,
201502,DENGUE,2015,2,True,259,,,,
201503,DENGUE,2015,3,True,326,,,,
201504,DENGUE,2015,4,True,444,,,,
201505,DENGUE,2015,5,True,518,,,,
201506,DENGUE,2015,6,True,592,,,,
201507,DENGUE,2015,7,True,402,,,,
201508,DENGUE,2015,8,True,677,,,,
201509,DENGUE,2015,9,True,722,,,,
201510,DENGUE,2015,10,True,1123,,,,
201511,DENGUE,2015,11,True,1327,,,,
201512,DENGUE,2015,12,True,1450,,,,
201513,DENGUE,2015,13,True,1127,,,,
201514,DENGUE,2015,14,True,1542,,,,
201515,DENGUE,2015,15,True,1374,,,,
201516,DENGUE,2015,16,True,1291,,,,
201517,DENGUE,2015,17,True,1321,,,,
201518,DENGUE,2015,18,True,1237,,,,
201519,DENGUE,2015,19,True,975,,,,
201520,DENGUE,2015,20,True,754,,,,
201521,DENGUE,2015,21,True,552,,,,
201522,DENGUE,2015,22,True,499,,,,
201523,DENGUE,2015,23,True,491,,,,
201524,DENGUE,2015,24,True,455,,,,
201525,DENGUE,2015,25,True,295,,,,
201526,DENGUE,2015,26,True,371,,,,
201527,DENGUE,2015,27,True,423,,,,
201528,DENGUE,2015,28,True,222,,,,
201529,DENGUE,2015,29,True,347,,,,
201530,DENGUE,2015,30,True,299,,,,
201531,DENGUE,2015,31,True,252,,,,
201532,DENGUE,2015,32,True,182,,,,
201533,DENGUE,2015,33,True,307,,,,
201534,DENGUE,2015,34,True,489,,,,
201535,DENGUE,2015,35,True,362,,,,
201536,DENGUE,2015,36,True,335,,,,
201537,DENGUE,2015,37,True,271,,,,
201538,DENGUE,2015,38,True,209,,,,
201539,DENGUE,2015,39,True,258,,,,
201540,DENGUE,2015,40,True,420,,,,
201541,DENGUE,2015,41,True,471,,,,
201542,DENGUE,2015,42,True,558,,,,
201543,DENGUE,2015,43,True,467,,,,
201544,DENGUE,2015,44,True,455,,,,
201545,DENGUE,2015,45,True,841,,,,
201546,DENGUE,2015,46,True,962,,,,
201547,DENGUE,2015,47,True,866,,,,
201548,DENGUE,2015,48,True,1082,,,,
201549,DENGUE,2015,49,True,777,,,,
201550,DENGUE,2015,50,True,931,,,,
201551,DENGUE,2015,51,True,595,,,,
201552,DENGUE,2015,52,True,658,,,,
201601,DENGUE,2016,1,True,762,,,,
201602,DENGUE,2016,2,True,870,,,,
201603,DENGUE,2016,3,True,1086,,,,
201604,DENGUE,2016,4,True,1136,,,,
201605,DENGUE,2016,5,True,1170,,,,
201606,DENGUE,2016,6,True,733,,,,
201607,DENGUE,2016,7,True,1783,,,,
201608,DENGUE,2016,8,True,1495,,,,
201609,DENGUE,2016,9,True,1260,,,,
201610,DENGUE,2016,10,True,872,,,,
201611,DENGUE,2016,11,True,853,,,,
201612,DENGUE,2016,12,True,541,,,,
201613,DENGUE,2016,13,True,681,,,,
201614,DENGUE,2016,14,True,502,,,,
201615,DENGUE,2016,15,True,450,,,,
201616,DENGUE,2016,16,True,538,,,,
201617,DENGUE,2016,17,True,419,,,,
201618,DENGUE,2016,18,True,396,,,,
201619,DENGUE,2016,19,True,258,,,,
201620,DENGUE,2016,20,True,415,,,,
201621,DENGUE,2016,21,True,287,,,,
201622,DENGUE,2016,22,True,189,,,,
201623,DENGUE,2016,23,True,190,,,,
201624,DENGUE,2016,24,True,231,,,,
201625,DENGUE,2016,25,True,123,,,,
201626,DENGUE,2016,26,True,188,,,,
201627,DENGUE,2016,27,True,171,,,,
201628,DENGUE,2016,28,True,86,,,,
201629,DENGUE,2016,29,True,98,,,,
201630,DENGUE,2016,30,True,78,,,,
201631,DENGUE,2016,31,True,69,,,,
201632,DENGUE,2016,32,True,71,,,,
201633,DENGUE,2016,33,True,127,,,,
201634,DENGUE,2016,34,True,75,,,,
201635,DENGUE,2016,35,True,56,,,,
201636,DENGUE,2016,36,True,56,,,,
201637,DENGUE,2016,37,True,64,,,,
201638,DENGUE,2016,38,True,78,,,,
201639,DENGUE,2016,39,True,82,,,,
201640,DENGUE,2016,40,True,95,,,,
201641,DENGUE,2016,41,True,35,,,,
201642,DENGUE,2016,42,True,58,,,,
201643,DENGUE,2016,43,True,56,,,,
201644,DENGUE,2016,44,True,41,,,,
201645,DENGUE,2016,45,True,35,,,,
201646,DENGUE,2016,46,True,26,,,,
201647,DENGUE,2016,47,True,61,,,,
201648,DENGUE,2016,48,True,32,,,,
201649,DENGUE,2016,49,True,45,,,,
201650,DENGUE,2016,50,True,41,,,,
201651,DENGUE,2016,51,True,45,,,,
201652,DENGUE,2016,52,True,32,,,,
201701,DENGUE,2017,1,True,34,,,,
201702,DENGUE,2017,2,True,52,,,,
201703,DENGUE,2017,3,True,42,,,,
201704,DENGUE,2017,4,True,49,,,,
201705,DENGUE,2017,5,True,48,,,,
201706,DENGUE,2017,6,True,84,,,,
201707,DENGUE,2017,7,True,88,,,,
201708,DENGUE,2017,8,True,59,,,,
201709,DENGUE,2017,9,True,27,,,,
201710,DENGUE,2017,10,True,49,,,,
201711,DENGUE,2017,11,True,88,,,,
201712,DENGUE,2017,12,True,52,,,,
201713,DENGUE,2017,13,True,128,,,,
201714,DENGUE,2017,14,True,66,,,,
201715,DENGUE,2017,15,True,61,,,,
201716,DENGUE,2017,16,True,36,,,,
201717,DENGUE,2017,17,True,49,,,,
201718,DENGUE,2017,18,True,45,,,,
201719,DENGUE,2017,19,True,90,,,,
201720,DENGUE,2017,20,True,59,,,,
201721,DENGUE,2017,21,True,50,,,,
201722,DENGUE,2017,22,True,51,,,,
201723,DENGUE,2017,23,True,68,,,,
201724,DENGUE,2017,24,True,53,,,,
201725,DENGUE,2017,25,True,68,,,,
201726,DENGUE,2017,26,True,72,,,,
201727,DENGUE,2017,27,True,25,,,,
201728,DENGUE,2017,28,True,23,,,,
201729,DENGUE,2017,29,True,28,,,,
201730,DENGUE,2017,30,True,31,,,,
201731,DENGUE,2017,31,True,37,,,,
201732,DENGUE,2017,32,True,40,,,,
201733,DENGUE,2017,33,True,52,,,,
201734,DENGUE,2017,34,True,37,,,,
201735,DENGUE,2017,35,True,42,,,,
201736,DENGUE,2017,36,True,33,,,,
201737,DENGUE,2017,37,True,40,,,,
201738,DENGUE,2017,38,True,41,,,,
201739,DENGUE,2017,39,True,71,,,,
201740,DENGUE,2017,40,True,60,,,,
201741,DENGUE,2017,41,True,31,,,,
201742,DENGUE,2017,42,True,24,,,,
201743,DENGUE,2017,43,True,43,,,,
201744,DENGUE,2017,44,True,33,,,,
201745,DENGUE,2017,45,True,30,,,,
201746,DENGUE,2017,46,True,46,,,,
201747,DENGUE,2017,47,True,25,,,,
201748,DENGUE,2017,48,True,22,,,,
201749,DENGUE,2017,49,True,26,,,,
201750,DENGUE,2017,50,True,25,,,,
201751,DENGUE,2017,51,True,36,,,,
201752,DENGUE,2017,52,True,17,,,,
201801,DENGUE,2018,1,True,30,,,,
201802,DENGUE,2018,2,True,14,,,,
201803,DENGUE,2018,3,True,14,,,,
201804,DENGUE,2018,4,True,28,,,,
