identificador,tipo,entidade,ano,coluna,quantidade_valores_unicos,dtype_inferido
chikungunya_2025,fato,chikungunya,2025.0,NU_NOTIFIC,1942,inteiro
chikungunya_2025,fato,chikungunya,2025.0,TP_NOT,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_AGRAVO,1,texto
chikungunya_2025,fato,chikungunya,2025.0,DT_NOTIFIC,308,data
chikungunya_2025,fato,chikungunya,2025.0,SEM_NOT,53,inteiro
chikungunya_2025,fato,chikungunya,2025.0,NU_ANO,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,SG_UF_NOT,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_MUNICIP,11,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_REGIONA,4,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_UNIDADE,147,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_SIN_PRI,386,data
chikungunya_2025,fato,chikungunya,2025.0,SEM_PRI,77,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_NASC,1819,data
chikungunya_2025,fato,chikungunya,2025.0,NU_IDADE_N,98,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CS_SEXO,3,texto
chikungunya_2025,fato,chikungunya,2025.0,CS_GESTANT,7,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CS_RACA,6,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CS_ESCOL_N,11,inteiro
chikungunya_2025,fato,chikungunya,2025.0,SG_UF,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_MN_RESI,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_RG_RESI,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_DISTRIT,8,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_BAIRRO,84,inteiro
chikungunya_2025,fato,chikungunya,2025.0,NM_BAIRRO,85,texto
chikungunya_2025,fato,chikungunya,2025.0,ID_LOGRADO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,NM_LOGRADO,1624,texto
chikungunya_2025,fato,chikungunya,2025.0,NU_CEP,718,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_PAIS,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_INVEST,307,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ID_OCUPA_N,28,inteiro
chikungunya_2025,fato,chikungunya,2025.0,FEBRE,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,MIALGIA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CEFALEIA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,EXANTEMA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,VOMITO,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,NAUSEA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DOR_COSTAS,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CONJUNTVIT,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ARTRITE,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ARTRALGIA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,PETEQUIA_N,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,LEUCOPENIA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,LACO,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DOR_RETRO,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DIABETES,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,HEMATOLOG,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,HEPATOPAT,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RENAL,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,HIPERTENSA,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ACIDO_PEPT,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,AUTO_IMUNE,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_CHIK_S1,164,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_CHIK_S2,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_PRNT,17,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RES_CHIKS1,4,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RES_CHIKS2,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RESUL_PRNT,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_SORO,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RESUL_SORO,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_NS1,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,RESUL_NS1,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_VIRAL,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RESUL_VI_N,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_PCR,132,inteiro
chikungunya_2025,fato,chikungunya,2025.0,RESUL_PCR_,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,SOROTIPO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,HISTOPA_N,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,IMUNOH_N,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,HOSPITALIZ,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_INTERNA,142,inteiro
chikungunya_2025,fato,chikungunya,2025.0,UF,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,MUNICIPIO,5,inteiro
chikungunya_2025,fato,chikungunya,2025.0,HOSPITAL,26,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DDD_HOSP,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,TEL_HOSP,26,inteiro
chikungunya_2025,fato,chikungunya,2025.0,TPAUTOCTO,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,COUFINF,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,COPAISINF,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,COMUNINF,1,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CODISINF,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CO_BAINF,15,inteiro
chikungunya_2025,fato,chikungunya,2025.0,NOBAIINF,15,texto
chikungunya_2025,fato,chikungunya,2025.0,CLASSI_FIN,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,CRITERIO,3,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DOENCA_TRA,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,CLINC_CHIK,2,inteiro
chikungunya_2025,fato,chikungunya,2025.0,EVOLUCAO,5,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_OBITO,21,inteiro
chikungunya_2025,fato,chikungunya,2025.0,DT_ENCERRA,213,inteiro
chikungunya_2025,fato,chikungunya,2025.0,ALRM_HIPOT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_PLAQ,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_VOM,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_SANG,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_HEMAT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_ABDOM,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_LETAR,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_HEPAT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,ALRM_LIQ,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,DT_ALRM,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_PULSO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_CONV,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_ENCH,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_INSUF,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_TAQUI,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_EXTRE,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_HIPOT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_HEMAT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_MELEN,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_METRO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_SANG,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_AST,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_MIOC,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_CONSC,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_ORGAO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,DT_GRAV,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,MANI_HEMOR,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,EPISTAXE,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GENGIVO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,METRO,0,vazio
