identificador,tipo,entidade,ano,resource_id,object_key,quantidade_registros,quantidade_colunas,quantidade_duplicados
chikungunya_2025,fato,chikungunya,2025.0,b300a634-1ab7-49fc-8592-4b45227822a8,bronze/recife/arboviroses/fatos/chikungunya/ano=2025/ingestion=20260819T211915Z/b300a634-1ab7-49fc-8592-4b45227822a8.csv,1942,130,0
chikungunya_2024,fato,chikungunya,2024.0,b0490f6f-f51a-4471-bc9e-a82c59b8e59e,bronze/recife/arboviroses/fatos/chikungunya/ano=2024/ingestion=20260819T211915Z/b0490f6f-f51a-4471-bc9e-a82c59b8e59e.csv,2481,143,0
chikungunya_2023,fato,chikungunya,2023.0,79f9e050-3932-4512-9c9a-ef1e06381c38,bronze/recife/arboviroses/fatos/chikungunya/ano=2023/ingestion=20260819T211915Z/79f9e050-3932-4512-9c9a-ef1e06381c38.csv,1555,125,0
chikungunya_2022,fato,chikungunya,2022.0,ed13983e-8dbd-4c5e-9986-1cc4a859c687,bronze/recife/arboviroses/fatos/chikungunya/ano=2022/ingestion=20260819T211915Z/ed13983e-8dbd-4c5e-9986-1cc4a859c687.csv,2110,125,0
chikungunya_2021,fato,chikungunya,2021.0,b37c959b-9a18-4781-9f44-3287c8ee29e6,bronze/recife/arboviroses/fatos/chikungunya/ano=2021/ingestion=20260819T211915Z/b37c959b-9a18-4781-9f44-3287c8ee29e6.csv,17664,126,0
chikungunya_2020,fato,chikungunya,2020.0,f0d2363a-5b8f-4a65-ab12-58d0015178e8,bronze/recife/arboviroses/fatos/chikungunya/ano=2020/ingestion=20260819T211915Z/f0d2363a-5b8f-4a65-ab12-58d0015178e8.csv,2803,125,0
chikungunya_2019,fato,chikungunya,2019.0,55ddeebc-7e15-431a-8136-5faf1fc3d788,bronze/recife/arboviroses/fatos/chikungunya/ano=2019/ingestion=20260819T211915Z/55ddeebc-7e15-431a-8136-5faf1fc3d788.csv,1441,125,0
chikungunya_2018,fato,chikungunya,2018.0,a7efb4d3-1942-4497-95fc-7a88273b8500,bronze/recife/arboviroses/fatos/chikungunya/ano=2018/ingestion=20260819T211915Z/a7efb4d3-1942-4497-95fc-7a88273b8500.csv,639,125,0
chikungunya_2017,fato,chikungunya,2017.0,99cf777e-2d1d-45bd-85a7-960dbdca7f9f,bronze/recife/arboviroses/fatos/chikungunya/ano=2017/ingestion=20260819T211915Z/99cf777e-2d1d-45bd-85a7-960dbdca7f9f.csv,1037,125,0
chikungunya_2016,fato,chikungunya,2016.0,49028273-234c-4acf-9c3e-a0e1dd21a03a,bronze/recife/arboviroses/fatos/chikungunya/ano=2016/ingestion=20260819T211915Z/49028273-234c-4acf-9c3e-a0e1dd21a03a.csv,11248,125,0
chikungunya_2015,fato,chikungunya,2015.0,7b1d7398-4e69-4e84-b912-144a93748ad2,bronze/recife/arboviroses/fatos/chikungunya/ano=2015/ingestion=20260819T211915Z/7b1d7398-4e69-4e84-b912-144a93748ad2.csv,1804,125,0
zika_2025,fato,zika,2025.0,cf7dc2c4-a050-454f-9404-465458baa988,bronze/recife/arboviroses/fatos/zika/ano=2025/ingestion=20260819T211915Z/cf7dc2c4-a050-454f-9404-465458baa988.csv,821,47,0
zika_2024,fato,zika,2024.0,a5bd9a51-57a3-48f4-bdc5-3af350bbc809,bronze/recife/arboviroses/fatos/zika/ano=2024/ingestion=20260819T211915Z/a5bd9a51-57a3-48f4-bdc5-3af350bbc809.csv,475,47,0
