codigo_bairro,nome_bairro,codigo_estacao,nome_estacao,fonte,latitude_estacao,longitude_estacao,distancia_km,estacao_dentro_do_bairro,metodo_ponto_representativo_bairro,metodo_associacao,versao_estrategia,_gerado_em
752,CURADO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,3.762,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
396,DOIS UNIDOS,3253,NOVA DESCOBERTA,CEMADEN,-8.001917,-34.919278,0.836,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
132,AFLITOS,6535,TORREÃO,CEMADEN,-8.037,-34.884,1.406,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
906,SANCHO,6847,AREIAS,CEMADEN,-8.102,-34.929,4.071,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
736,VARZEA,3010,VARZEA,CEMADEN,-8.036,-34.98,1.432,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
60,COELHOS,6846,PORTO,CEMADEN,-8.054,-34.873,2.387,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
299,PEIXINHOS,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,0.816,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
35,SAO JOSE,6846,PORTO,CEMADEN,-8.054,-34.873,2.595,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
27,SANTO ANTONIO,6846,PORTO,CEMADEN,-8.054,-34.873,1.202,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
19,RECIFE,6846,PORTO,CEMADEN,-8.054,-34.873,0.534,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
302,HIPODROMO,6535,TORREÃO,CEMADEN,-8.037,-34.884,0.697,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
183,ROSARINHO,6535,TORREÃO,CEMADEN,-8.037,-34.884,1.552,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
310,CAMPINA DO BARRETO,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,0.481,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
442,CASA FORTE,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,1.431,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
469,PARNAMIRIM,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,1.733,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
418,GUABIRABA,6529,GUABIRABA,CEMADEN,-7.994,-34.936,4.386,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
43,ILHA JOANA BEZERRA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.876,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
51,CABANGA,6534,PINA,CEMADEN,-8.099,-34.887,2.247,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
78,ILHA DO LEITE,6846,PORTO,CEMADEN,-8.054,-34.873,2.66,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
639,PAU FERRO,6473,VILA DA FÁBRICA,CEMADEN,-7.999,-34.98,3.636,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
795,MANGUEIRA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,0.626,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
108,SANTO AMARO,6846,PORTO,CEMADEN,-8.054,-34.873,0.984,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
86,BOA VISTA,6535,TORREÃO,CEMADEN,-8.037,-34.884,2.39,False,representative_point_fallback,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
124,ESPINHEIRO,6535,TORREÃO,CEMADEN,-8.037,-34.884,1.108,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
140,DERBY,6535,TORREÃO,CEMADEN,-8.037,-34.884,2.746,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
450,SANTANA,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,2.204,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
94,PAISSANDU,6846,PORTO,CEMADEN,-8.054,-34.873,2.985,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
914,TOTO,6532,IBURA,CEMADEN,-8.122,-34.955,4.632,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
167,GRACAS,6535,TORREÃO,CEMADEN,-8.037,-34.884,2.015,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
655,TORRE,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,2.782,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
329,ARRUDA,6535,TORREÃO,CEMADEN,-8.037,-34.884,1.532,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
710,ENGENHO DO MEIO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.693,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
353,CAJUEIRO,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,0.507,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
884,COHAB,6532,IBURA,CEMADEN,-8.122,-34.955,0.408,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
671,ZUMBI,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.376,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
191,TAMARINEIRA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,1.884,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
809,BONGI,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.053,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
728,CIDADE UNIVERSITARIA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,3.582,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
272,TORREAO,6535,TORREÃO,CEMADEN,-8.037,-34.884,0.374,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
159,JAQUEIRA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,2.303,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
841,CACOTE,6847,AREIAS,CEMADEN,-8.102,-34.929,0.286,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
213,IPSEP,6847,AREIAS,CEMADEN,-8.102,-34.929,1.186,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
361,PORTO DA MADEIRA,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,1.177,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
221,JORDAO,6532,IBURA,CEMADEN,-8.122,-34.955,2.525,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
663,PRADO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.691,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
701,TORROES,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.797,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
590,DOIS IRMAOS,3006,DOIS IRMÃOS,CEMADEN,-8.018378,-34.947058,1.329,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
647,MADALENA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.772,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
116,SOLEDADE,6846,PORTO,CEMADEN,-8.054,-34.873,1.909,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
698,IPUTINGA,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,1.691,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
817,SAN MARTIN,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,0.608,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
868,JARDIM SAO PAULO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.324,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
850,AREIAS,6847,AREIAS,CEMADEN,-8.102,-34.929,0.819,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
515,MANGABEIRA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,1.47,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
400,PASSARINHO,2999,ÁGUAS COMPRIDAS,CEMADEN,-7.983,-34.912,1.06,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
892,TEJIPIO,6847,AREIAS,CEMADEN,-8.102,-34.929,3.444,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
680,CORDEIRO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.539,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
922,COQUEIRAL,6532,IBURA,CEMADEN,-8.122,-34.955,4.125,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
477,POCO,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,1.342,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
876,BARRO,6847,AREIAS,CEMADEN,-8.102,-34.929,2.516,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
833,ESTANCIA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.383,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
345,FUNDAO,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,1.129,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
744,CAXANGA,3006,DOIS IRMÃOS,CEMADEN,-8.018378,-34.947058,1.104,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
604,SITIO DOS PINTOS,3006,DOIS IRMÃOS,CEMADEN,-8.018378,-34.947058,1.408,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
370,BEBERIBE,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,1.906,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
426,BOMBA DO HEMETERIO,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,1.472,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
434,CASA AMARELA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.822,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
388,LINHA DO TIRO,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,1.549,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
175,ENCRUZILHADA,6535,TORREÃO,CEMADEN,-8.037,-34.884,0.774,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
256,BRASILIA TEIMOSA,6534,PINA,CEMADEN,-8.099,-34.887,2.334,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
523,ALTO JOSE DO PINHO,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.807,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
248,PINA,6534,PINA,CEMADEN,-8.099,-34.887,0.953,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
612,BREJO DA GUABIRABA,6529,GUABIRABA,CEMADEN,-7.994,-34.936,0.359,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
760,ILHA DO RETIRO,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,2.437,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
787,MUSTARDINHA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,0.638,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
485,MONTEIRO,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,0.352,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
230,IBURA,3257,IMBIRIBEIRA,CEMADEN,-8.120975,-34.913983,2.014,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
540,ALTO JOSE BONIFACIO,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.666,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
493,ALTO DO MANDU,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,0.253,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
531,MORRO DA CONCEICAO,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.109,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
558,VASCO DA GAMA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.91,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
205,BOA VIAGEM,3257,IMBIRIBEIRA,CEMADEN,-8.120975,-34.913983,1.448,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
949,ALTO SANTA TEREZINHA,6530,MORRO DA CONCEIÇÃO,CEMADEN,-8.019,-34.915,0.841,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
280,CAMPO GRANDE,6535,TORREÃO,CEMADEN,-8.037,-34.884,0.836,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
582,MACAXEIRA,3258,ALTO MANDU,CEMADEN,-8.024,-34.927,1.401,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
566,NOVA DESCOBERTA,3253,NOVA DESCOBERTA,CEMADEN,-8.001917,-34.919278,1.007,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
574,BREJO DE BEBERIBE,3253,NOVA DESCOBERTA,CEMADEN,-8.001917,-34.919278,0.584,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
337,AGUA FRIA,6531,CAMPINA DO BARRETO,CEMADEN,-8.013,-34.881,1.759,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
264,IMBIRIBEIRA,3257,IMBIRIBEIRA,CEMADEN,-8.120975,-34.913983,1.759,True,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
825,JIQUIA,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.279,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
779,AFOGADOS,6536,SAN MARTIN,CEMADEN,-8.073,-34.925,1.574,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
507,APIPUCOS,3006,DOIS IRMÃOS,CEMADEN,-8.018378,-34.947058,1.07,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
620,CORREGO DO JENIPAPO,6529,GUABIRABA,CEMADEN,-7.994,-34.936,0.95,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
930,PONTO DE PARADA,6535,TORREÃO,CEMADEN,-8.037,-34.884,1.264,False,centroide,nearest_station,A.1,2026-08-20T01:44:01.997601+00:00
