fonte,estacao,coluna,quantidade_null,percentual_null
INMET,PETROLINA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",5374,61.18
INMET,PETROLINA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",5301,60.35
INMET,PETROLINA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),5301,60.35
INMET,PETROLINA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),5301,60.35
INMET,PETROLINA,RADIACAO GLOBAL (Kj/m²),8784,100.0
INMET,PETROLINA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",5301,60.35
INMET,PETROLINA,TEMPERATURA DO PONTO DE ORVALHO (°C),5305,60.39
INMET,PETROLINA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),5301,60.35
INMET,PETROLINA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),5301,60.35
INMET,PETROLINA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),5305,60.39
INMET,PETROLINA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),5305,60.39
INMET,PETROLINA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),5305,60.39
INMET,PETROLINA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),5305,60.39
INMET,PETROLINA,"UMIDADE RELATIVA DO AR, HORARIA (%)",5305,60.39
INMET,PETROLINA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",5301,60.35
INMET,PETROLINA,"VENTO, RAJADA MAXIMA (m/s)",5301,60.35
INMET,PETROLINA,"VENTO, VELOCIDADE HORARIA (m/s)",5301,60.35
INMET,ARCO VERDE,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",534,6.08
INMET,ARCO VERDE,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",534,6.08
INMET,ARCO VERDE,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),541,6.16
INMET,ARCO VERDE,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),541,6.16
INMET,ARCO VERDE,RADIACAO GLOBAL (Kj/m²),4296,48.91
INMET,ARCO VERDE,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",534,6.08
INMET,ARCO VERDE,TEMPERATURA DO PONTO DE ORVALHO (°C),534,6.08
INMET,ARCO VERDE,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),541,6.16
INMET,ARCO VERDE,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),541,6.16
INMET,ARCO VERDE,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),541,6.16
INMET,ARCO VERDE,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),541,6.16
INMET,ARCO VERDE,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),541,6.16
INMET,ARCO VERDE,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),541,6.16
INMET,ARCO VERDE,"UMIDADE RELATIVA DO AR, HORARIA (%)",534,6.08
INMET,ARCO VERDE,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))",637,7.25
INMET,ARCO VERDE,"VENTO, RAJADA MAXIMA (m/s)",676,7.7
INMET,ARCO VERDE,"VENTO, VELOCIDADE HORARIA (m/s)",639,7.27
INMET,GARANHUNS,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",8784,100.0
INMET,GARANHUNS,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",0,0.0
INMET,GARANHUNS,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),0,0.0
INMET,GARANHUNS,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),0,0.0
INMET,GARANHUNS,RADIACAO GLOBAL (Kj/m²),3999,45.53
INMET,GARANHUNS,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",0,0.0
