fonte,estacao,coluna
INMET,PETROLINA,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,PETROLINA,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,PETROLINA,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,PETROLINA,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,PETROLINA,RADIACAO GLOBAL (Kj/m²)
INMET,PETROLINA,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,PETROLINA,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,PETROLINA,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,PETROLINA,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,PETROLINA,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,PETROLINA,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,PETROLINA,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,PETROLINA,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,PETROLINA,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,PETROLINA,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,PETROLINA,"VENTO, RAJADA MAXIMA (m/s)"
INMET,PETROLINA,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,ARCO VERDE,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,ARCO VERDE,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,ARCO VERDE,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,ARCO VERDE,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,ARCO VERDE,RADIACAO GLOBAL (Kj/m²)
INMET,ARCO VERDE,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,ARCO VERDE,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,ARCO VERDE,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,ARCO VERDE,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,ARCO VERDE,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,ARCO VERDE,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,ARCO VERDE,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,ARCO VERDE,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,ARCO VERDE,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,ARCO VERDE,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,ARCO VERDE,"VENTO, RAJADA MAXIMA (m/s)"
INMET,ARCO VERDE,"VENTO, VELOCIDADE HORARIA (m/s)"
INMET,GARANHUNS,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)"
INMET,GARANHUNS,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)"
INMET,GARANHUNS,PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)
INMET,GARANHUNS,PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
INMET,GARANHUNS,RADIACAO GLOBAL (Kj/m²)
INMET,GARANHUNS,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,GARANHUNS,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,GARANHUNS,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,GARANHUNS,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
