fonte,run_id,id,nome,latitude,longitude,precipitacao_24h_mm
APAC,20260819T213416Z,1190,Caruaru - 1º Distrito*,-8.340000000000000,-36.067000000000000,0.62
APAC,20260819T213416Z,1189,Caruaru - 2º Distrito*,-8.176000000000000,-35.973000000000000,4.8
APAC,20260819T213416Z,1170,Distrito Industrial-Timbó - Abreu e Lima,-7.917000000000000,-34.898000000000000,0.2
APAC,20260819T213416Z,1372,IPA- APAC - Abreu e Lima,-7.895640000000000,-34.941960000000000,0.0
APAC,20260819T213416Z,1443,São João - Açude Municipal - APAC,-8.878170000000000,-36.368080000000000,0.0
APAC,20260819T213416Z,1513,AGRESTINA - AGRESTINA - APAC,-8.441758000000000,-35.952225000000000,0.0
APAC,20260819T213416Z,1173,Olinda - águas Compridas*,-7.983000000000000,-34.912000000000000,0.0
APAC,20260819T213416Z,1202,Olinda - Aguazinha*,-7.999000000000000,-34.887000000000000,0.0
APAC,20260819T213416Z,1589,ALAGOINHA - ALAGOINHA [GARAGEM MUNICIPAL] - APAC,-8.462690000000000,-36.767500000000000,0.0
APAC,20260819T213416Z,1222,Camaragibe - Alberto Maia*,-8.020000000000000,-35.003000000000000,0.0
APAC,20260819T213416Z,1186,Camaragibe - Aldeia*,-7.956000000000000,-35.009000000000000,0.0
APAC,20260819T213416Z,1250,Igarassu - Alto do Céu*,-7.807000000000000,-34.933000000000000,1.98
APAC,20260819T213416Z,1392,Glória do Goitá - Apodi - APAC,-8.054720000000000,-35.389030000000000,0.0
APAC,20260819T213416Z,1590,ARARIPINA - ARARIPINA - APAC,-7.577100000000000,-40.505800000000000,0.0
APAC,20260819T213416Z,1389,Ribeirão - Aripibu - APAC,-8.443410000000000,-35.345950000000000,0.0
APAC,20260819T213416Z,1499,AFRÂNIO - ARIZONA - APAC,-8.673611000000000,-40.961361000000000,0.0
APAC,20260819T213416Z,1384,Condado - Assentamento - APAC,-7.580280000000000,-35.102530000000000,0.0
APAC,20260819T213416Z,1459,Saloá - Assentamento - APAC,-8.970840000000000,-36.668690000000000,0.0
APAC,20260819T213416Z,1444,Feira Nova - Assentamento - APAC,-7.928850000000000,-35.392040000000000,0.0
APAC,20260819T213416Z,1402,Rio Formoso - Assentamento Minguito - APAC,-8.675340000000000,-35.160510000000000,0.0
APAC,20260819T213416Z,1270,Vitória de Santo Antão - Bairro C*,-8.121000000000000,-35.325000000000000,0.0
APAC,20260819T213416Z,1238,água preta - Bairro D'Ouro*,-8.694000000000000,-35.526000000000000,1.57
APAC,20260819T213416Z,1287,Camaragibe - Bairro dos Estados*,-8.026000000000000,-34.975000000000000,0.2
APAC,20260819T213416Z,1214,Ribeirão - Bandeirante*,-8.507000000000000,-35.385000000000000,0.0
APAC,20260819T213416Z,1512,BARRA DE GUABIRABA - BARRA DE GUABIRABA - APAC,-8.424057000000000,-35.655684000000000,0.0
APAC,20260819T213416Z,1230,Jaboatão dos Guararapes - Barra de Jangada*,-8.220000000000000,-34.932000000000000,0.0
APAC,20260819T213416Z,1219,São lourenço da Mata - Barra do Riachão*,-7.995000000000000,-35.035000000000000,0.2
APAC,20260819T213416Z,1218,São Joaquim do Monte - Barra do Riachão*,-8.507000000000000,-35.895000000000000,0.0
APAC,20260819T213416Z,1169,Barreiros - Barreiros [Banco Brasil],-8.813000000000000,-35.199000000000000,4.72
APAC,20260819T213416Z,1243,Belém de Maria - Batateiras*,-8.558000000000000,-35.829000000000000,0.0
APAC,20260819T213416Z,1583,BELO JARDIM - BELO JARDIM [15 BPM] - APAC,-8.344270000000000,-36.419940000000000,0.0
APAC,20260819T213416Z,1414,Pombos - Boca da Mata - APAC,-8.180560000000000,-35.393890000000000,2.19
APAC,20260819T213416Z,1580,BODOCÃ“ - BODOCÃ³ [IPA] - APAC,-7.781150000000000,-39.937910000000000,0.0
APAC,20260819T213416Z,1585,BOM CONSELHO - BOM CONSELHO [9 BPM] - APAC,-9.163020000000000,-36.688620000000000,0.0
APAC,20260819T213416Z,1485,São José do Belmonte - Bom Nome - APAC,-7.996220000000000,-38.624860000000000,0.0
APAC,20260819T213416Z,1236,Moreno - Bonança,-8.105000000000000,-35.195000000000000,0.0
APAC,20260819T213416Z,1520,BONITO - BONITO 2 - APAC,-8.527204000000000,-35.723541000000000,0.0
APAC,20260819T213416Z,1203,Olinda - Bonsucesso*,-8.008000000000000,-34.851000000000000,0.4
APAC,20260819T213416Z,1375,Itapissuma - Botafogo - APAC,-7.749680000000000,-34.934420000000000,0.0
APAC,20260819T213416Z,1220,Cabrobó - BR 428 - Km 05*,-8.528000000000000,-39.268000000000000,0.0
APAC,20260819T213416Z,1524,DORMENTES - CAATINGA GRANDE - APAC,-8.581139000000000,-40.693917000000000,0.0
APAC,20260819T213416Z,1511,Cabo (Destilária Liberdade) - CABO - APAC,-8.280710000000000,-35.159270000000000,0.2
APAC,20260819T213416Z,1271,Vitória de Santo Antão - Cajá*,-8.111000000000000,-35.284000000000000,8.88
APAC,20260819T213416Z,1274,Jaboatão dos Guararapes - Cajueiro Seco*,-8.168000000000000,-34.928000000000000,0.0
APAC,20260819T213416Z,1253,Ipojuca - Camela*,-8.511000000000000,-35.122000000000000,7.09
APAC,20260819T213416Z,1422,Camocim de São Félix - Camocim de São Félix,-8.382330000000000,-35.759390000000000,0.0
APAC,20260819T213416Z,1286,Catende - Canaã*,-8.670000000000000,-35.737000000000000,0.0
APAC,20260819T213416Z,1527,CANHOTINHO - CANHOTINHO - APAC,-8.853297000000000,-36.167267000000000,0.0
APAC,20260819T213416Z,1382,Itambé - Caricé - APAC,-7.525950000000000,-35.084940000000000,0.0
APAC,20260819T213416Z,1488,São José do Belmonte - Carmo - APAC,-7.832680000000000,-38.764220000000000,0.0
APAC,20260819T213416Z,1566,Carnaíba - Carnaíba [Prefeitura] - APAC,-7.801530000000000,-37.804420000000000,0.0
APAC,20260819T213416Z,1176,Jaboatão dos Guararapes - Cavaleiro 2*,-8.090000000000000,-34.970000000000000,0.0
APAC,20260819T213416Z,1172,Jaboatão dos Guararapes - Cavaleiro*,-8.096000000000000,-34.971000000000000,28.29
APAC,20260819T213416Z,1407,Ferreiros - Centro Cultural - APAC,-7.448200000000000,-35.241110000000000,0.0
APAC,20260819T213416Z,1248,Gameleira - Centro*,-8.330000000000000,-34.956000000000000,53.34
APAC,20260819T213416Z,1244,Bezerros - Centro*,-8.228000000000000,-35.751000000000000,0.0
APAC,20260819T213416Z,1241,Barra de Guabiraba - Centro*,-8.418000000000000,-35.664000000000000,0.0
APAC,20260819T213416Z,1252,Ipojuca - Centro*,-8.400000000000000,-35.064000000000000,0.0
APAC,20260819T213416Z,1240,águas belas - Centro*,-9.116000000000000,-37.118000000000000,0.0
APAC,20260819T213416Z,1255,Primavera - Centro*,-8.331000000000000,-35.352000000000000,0.0
APAC,20260819T213416Z,1256,Quipapá - Centro*,-8.830000000000000,-36.013000000000000,0.2
APAC,20260819T213416Z,1279,Sanharó - Centro*,-8.359000000000000,-36.564000000000000,0.0
