fonte,estacao,inicio,fim,dias_esperados,dias_disponiveis,cobertura_percentual
INMET,PETROLINA,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,ARCO VERDE,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,GARANHUNS,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,SURUBIM,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,CABROBO,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,CARUARU,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,IBIMIRIM,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,SERRA TALHADA,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,FLORESTA,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,PALMARES,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,OURICURI,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
INMET,SALGUEIRO,2024-01-01 00:00:00,2024-12-31 00:00:00,366,366,100.0
