codigo_estacao,primeiro,ultimo,dias,horas_validas_media
6847,2024-08-20,2026-08-20,253,23.604743083003953
3006,2024-08-20,2026-08-19,322,19.422360248447205
3010,2024-08-20,2026-08-20,147,16.299319727891156
3253,2024-08-20,2026-08-20,731,23.920656634746923
3257,2024-08-20,2026-08-20,731,23.630642954856363
3258,2024-08-20,2026-08-20,185,23.16216216216216
6536,2024-08-20,2026-08-20,149,23.34228187919463
6535,2024-08-20,2026-08-20,731,23.923392612859097
6534,2024-08-20,2026-08-20,731,23.885088919288645
6473,2024-08-20,2026-08-20,412,10.633495145631068
6846,2024-08-20,2026-08-20,620,7.767741935483871
6531,2024-08-20,2026-08-20,670,22.63731343283582
6529,2024-08-20,2026-08-20,718,23.637883008356546
6530,2024-08-21,2026-08-20,511,4.782778864970646
2999,2024-08-22,2026-08-20,52,20.75
6532,2026-04-14,2026-08-20,71,9.366197183098592
2997,2026-08-18,2026-08-20,3,16.333333333333332
6522,2026-08-18,2026-08-20,3,8.0
6515,2026-08-18,2026-08-20,3,16.333333333333332
6472,2026-08-18,2026-08-20,3,16.333333333333332
6471,2026-08-18,2026-08-20,3,3.6666666666666665
6470,2026-08-18,2026-08-20,3,6.0
6523,2026-08-18,2026-08-20,3,16.333333333333332
6474,2026-08-18,2026-08-20,3,16.333333333333332
