codigo_bairro,nome_bairro,ano_epidemiologico,semana_epidemiologica,precipitacao_total_semana_mm,precipitacao_semana_grade_mm,dias_com_dado_valido_semana,dias_validos_precipitacao_grade_semana
752,CURADO,2024,34,3.146336706706707,9.699999999999992,5.0,7.0
752,CURADO,2024,35,16.5812223445951,12.999999999999993,7.0,7.0
752,CURADO,2024,36,4.3299195120401475,3.099999999999993,7.0,7.0
752,CURADO,2024,37,13.856090740064904,17.099999999999994,2.0,7.0
396,DOIS UNIDOS,2024,34,0.4,9.699999999999992,5.0,7.0
396,DOIS UNIDOS,2024,35,11.140255454621485,12.999999999999993,7.0,7.0
396,DOIS UNIDOS,2024,36,1.99398,3.099999999999993,7.0,7.0
396,DOIS UNIDOS,2024,37,39.15371707153882,17.099999999999994,7.0,7.0
396,DOIS UNIDOS,2024,38,3.796300612098988,5.199999999999993,7.0,7.0
396,DOIS UNIDOS,2024,39,14.563946255117315,6.199999999999993,7.0,7.0
396,DOIS UNIDOS,2024,40,6.354453686558803,3.899999999999993,7.0,7.0
396,DOIS UNIDOS,2024,41,0.0,2.299999999999993,7.0,7.0
396,DOIS UNIDOS,2024,42,6.147641437185957,1.9999999999999927,7.0,7.0
396,DOIS UNIDOS,2024,43,1.9715930894308944,3.999999999999993,7.0,7.0
396,DOIS UNIDOS,2024,44,1.7780400000000003,5.399999999999992,7.0,7.0
396,DOIS UNIDOS,2024,45,2.2,10.199999999999994,7.0,7.0
396,DOIS UNIDOS,2024,46,0.0,4.5999999999999925,7.0,7.0
396,DOIS UNIDOS,2024,47,0.2,4.899999999999993,7.0,7.0
396,DOIS UNIDOS,2024,48,0.0,1.7999999999999927,7.0,7.0
396,DOIS UNIDOS,2024,49,6.5882106895326,9.999999999999993,7.0,7.0
396,DOIS UNIDOS,2024,50,0.9861450710494779,5.5999999999999925,7.0,7.0
396,DOIS UNIDOS,2024,51,4.575016414290396,9.299999999999994,7.0,7.0
396,DOIS UNIDOS,2024,52,3.776555768779847,6.899999999999993,7.0,7.0
396,DOIS UNIDOS,2025,1,1.1861450710494779,7.799999999999993,7.0,7.0
396,DOIS UNIDOS,2025,2,0.0,12.499999999999993,7.0,7.0
396,DOIS UNIDOS,2025,3,107.82294146493614,33.89999999999999,7.0,7.0
396,DOIS UNIDOS,2025,4,25.400002701644603,9.999999999999993,7.0,7.0
396,DOIS UNIDOS,2025,5,83.46667419240292,26.199999999999992,7.0,7.0
396,DOIS UNIDOS,2025,6,244.01347839620618,35.89999999999999,7.0,7.0
396,DOIS UNIDOS,2025,7,9.541406732098494,6.49999999999999,7.0,7.0
396,DOIS UNIDOS,2025,8,8.726277312095391,12.09999999999999,7.0,7.0
396,DOIS UNIDOS,2025,9,31.60540600140814,21.89999999999999,7.0,7.0
396,DOIS UNIDOS,2025,10,47.03208214739398,21.69999999999999,7.0,7.0
396,DOIS UNIDOS,2025,11,95.35549634604908,31.39999999999999,7.0,7.0
396,DOIS UNIDOS,2025,12,36.66750663527389,19.599999999999987,7.0,7.0
396,DOIS UNIDOS,2025,13,103.39494564827764,9.399999999999988,7.0,7.0
396,DOIS UNIDOS,2025,14,22.03037317845069,18.39999999999999,7.0,7.0
396,DOIS UNIDOS,2025,15,26.213107583060292,16.99999999999999,7.0,7.0
396,DOIS UNIDOS,2025,16,2.4065301420989416,8.29999999999999,7.0,7.0
396,DOIS UNIDOS,2025,17,70.42789558416625,12.099999999999989,7.0,7.0
396,DOIS UNIDOS,2025,18,0.7926799999999858,2.699999999999989,7.0,7.0
396,DOIS UNIDOS,2025,19,4.578124620395711,12.399999999999988,7.0,7.0
396,DOIS UNIDOS,2025,20,282.0121115291536,42.199999999999996,7.0,7.0
396,DOIS UNIDOS,2025,21,115.50457239508737,55.8,7.0,7.0
396,DOIS UNIDOS,2025,22,98.14649863474177,21.39999999999999,7.0,7.0
396,DOIS UNIDOS,2025,23,94.48120108533932,25.69999999999999,7.0,7.0
396,DOIS UNIDOS,2025,24,87.24469251333403,20.89999999999999,7.0,7.0
396,DOIS UNIDOS,2025,25,92.57445721657876,41.39999999999999,7.0,7.0
396,DOIS UNIDOS,2025,26,157.20433401993301,37.79999999999999,7.0,7.0
396,DOIS UNIDOS,2025,27,113.98801143969791,38.099999999999994,7.0,7.0
396,DOIS UNIDOS,2025,28,93.57770243677535,23.999999999999993,7.0,7.0
396,DOIS UNIDOS,2025,29,14.808029913771232,19.699999999999992,7.0,7.0
396,DOIS UNIDOS,2025,30,26.32413704686598,13.199999999999992,7.0,7.0
396,DOIS UNIDOS,2025,31,101.3025236651294,26.699999999999992,7.0,7.0
396,DOIS UNIDOS,2025,32,58.34101870018792,25.199999999999992,7.0,7.0
396,DOIS UNIDOS,2025,33,111.9104238863435,67.99999999999999,7.0,7.0
396,DOIS UNIDOS,2025,34,35.416567645135174,18.899999999999984,7.0,7.0
396,DOIS UNIDOS,2025,35,37.588381236596675,18.099999999999987,7.0,7.0
396,DOIS UNIDOS,2025,36,89.96863776097227,31.69999999999999,7.0,7.0
396,DOIS UNIDOS,2025,37,2.0098528590603886,11.299999999999986,7.0,7.0
396,DOIS UNIDOS,2025,38,1.8122799999999857,8.199999999999985,7.0,7.0
396,DOIS UNIDOS,2025,39,10.283657968370234,10.499999999999986,7.0,7.0
396,DOIS UNIDOS,2025,40,109.73599762825773,15.999999999999986,7.0,7.0
396,DOIS UNIDOS,2025,41,5.3405365233554605,6.899999999999986,7.0,7.0
396,DOIS UNIDOS,2025,42,2.381196520763173,5.7999999999999865,7.0,7.0
396,DOIS UNIDOS,2025,43,7.530040958419326,10.099999999999985,7.0,7.0
396,DOIS UNIDOS,2025,44,13.490986432303073,10.399999999999984,7.0,7.0
396,DOIS UNIDOS,2025,45,0.0,1.1999999999999857,7.0,7.0
396,DOIS UNIDOS,2025,46,11.232292593842656,8.199999999999985,7.0,7.0
396,DOIS UNIDOS,2025,47,1.4122799999999858,2.999999999999986,7.0,7.0
396,DOIS UNIDOS,2025,48,5.5737307099493645,6.499999999999986,7.0,7.0
396,DOIS UNIDOS,2025,49,12.303123430838959,6.499999999999986,7.0,7.0
396,DOIS UNIDOS,2025,50,1.0195999999999859,3.9999999999999862,7.0,7.0
396,DOIS UNIDOS,2025,51,0.1999999999999858,4.599999999999985,7.0,7.0
396,DOIS UNIDOS,2025,52,19.757866235190022,8.899999999999986,7.0,7.0
396,DOIS UNIDOS,2025,53,0.0,5.699999999999986,7.0,7.0
132,AFLITOS,2024,34,0.2,9.699999999999992,5.0,7.0
132,AFLITOS,2024,35,4.966517933094385,12.999999999999993,7.0,7.0
132,AFLITOS,2024,36,0.6000000000000001,3.099999999999993,7.0,7.0
132,AFLITOS,2024,37,24.564408239500782,17.099999999999994,7.0,7.0
132,AFLITOS,2024,38,2.1789365432098764,5.199999999999993,7.0,7.0
132,AFLITOS,2024,39,15.407345146745321,6.199999999999993,7.0,7.0
132,AFLITOS,2024,40,9.362435641732187,3.899999999999993,7.0,7.0
132,AFLITOS,2024,41,0.0,2.299999999999993,7.0,7.0
132,AFLITOS,2024,42,9.101137113223281,1.9999999999999927,7.0,7.0
132,AFLITOS,2024,43,2.0012999999999996,3.999999999999993,7.0,7.0
132,AFLITOS,2024,44,7.502444911691088,5.399999999999992,7.0,7.0
132,AFLITOS,2024,45,7.702061536024379,10.199999999999994,7.0,7.0
132,AFLITOS,2024,46,0.0,4.5999999999999925,7.0,7.0
132,AFLITOS,2024,47,0.4,4.899999999999993,7.0,7.0
132,AFLITOS,2024,48,0.9869004839783073,1.7999999999999927,7.0,7.0
132,AFLITOS,2024,49,3.946959026027332,9.999999999999993,7.0,7.0
132,AFLITOS,2024,50,1.1937179255396202,5.5999999999999925,7.0,7.0
132,AFLITOS,2024,51,3.982579893949832,9.299999999999994,7.0,7.0
