codigo_bairro,nome_bairro,n_semanas,pearson
620,CORREGO DO JENIPAPO,71,0.7915
612,BREJO DA GUABIRABA,71,0.7915
418,GUABIRABA,71,0.7915
396,DOIS UNIDOS,72,0.7826
566,NOVA DESCOBERTA,72,0.7826
574,BREJO DE BEBERIBE,72,0.7826
299,PEIXINHOS,72,0.7692
361,PORTO DA MADEIRA,72,0.7692
337,AGUA FRIA,72,0.7692
353,CAJUEIRO,72,0.7692
370,BEBERIBE,72,0.7692
345,FUNDAO,72,0.7692
310,CAMPINA DO BARRETO,72,0.7692
124,ESPINHEIRO,72,0.7465
140,DERBY,72,0.7465
280,CAMPO GRANDE,72,0.7465
272,TORREAO,72,0.7465
930,PONTO DE PARADA,72,0.7465
167,GRACAS,72,0.7465
132,AFLITOS,72,0.7465
329,ARRUDA,72,0.7465
175,ENCRUZILHADA,72,0.7465
183,ROSARINHO,72,0.7465
302,HIPODROMO,72,0.7465
86,BOA VISTA,72,0.7465
507,APIPUCOS,30,0.7366
590,DOIS IRMAOS,30,0.7366
604,SITIO DOS PINTOS,30,0.7366
744,CAXANGA,30,0.7366
850,AREIAS,18,0.7325
906,SANCHO,18,0.7325
841,CACOTE,18,0.7325
876,BARRO,18,0.7325
213,IPSEP,18,0.7325
892,TEJIPIO,18,0.7325
205,BOA VIAGEM,72,0.7123
264,IMBIRIBEIRA,72,0.6935
230,IBURA,72,0.6935
639,PAU FERRO,58,0.6371
248,PINA,72,0.386
256,BRASILIA TEIMOSA,72,0.386
51,CABANGA,72,0.386
159,JAQUEIRA,51,0.3471
558,VASCO DA GAMA,51,0.3471
515,MANGABEIRA,51,0.3471
949,ALTO SANTA TEREZINHA,51,0.3471
523,ALTO JOSE DO PINHO,51,0.3471
388,LINHA DO TIRO,51,0.3471
191,TAMARINEIRA,51,0.3471
469,PARNAMIRIM,51,0.3471
655,TORRE,51,0.3471
531,MORRO DA CONCEICAO,51,0.3471
540,ALTO JOSE BONIFACIO,51,0.3471
434,CASA AMARELA,51,0.3471
426,BOMBA DO HEMETERIO,51,0.3471
493,ALTO DO MANDU,12,0.3465
450,SANTANA,12,0.3465
698,IPUTINGA,12,0.3465
582,MACAXEIRA,12,0.3465
442,CASA FORTE,12,0.3465
477,POCO,12,0.3465
485,MONTEIRO,12,0.3465
116,SOLEDADE,69,0.3282
108,SANTO AMARO,69,0.3282
35,SAO JOSE,69,0.3282
19,RECIFE,69,0.3282
27,SANTO ANTONIO,69,0.3282
60,COELHOS,69,0.3282
78,ILHA DO LEITE,69,0.3282
94,PAISSANDU,69,0.3282
736,VARZEA,13,-0.0022
