codigo_bairro,nome_bairro,estacao_mais_proxima,fonte_estacao,distancia_km
752,CURADO,1176,APAC,2.375
396,DOIS UNIDOS,1179,APAC,0.441
132,AFLITOS,1265,APAC,1.406
906,SANCHO,1176,APAC,1.086
736,VARZEA,1168,APAC,1.432
60,COELHOS,1285,APAC,0.201
299,PEIXINHOS,1261,APAC,0.816
35,SAO JOSE,1285,APAC,0.718
27,SANTO ANTONIO,1284,APAC,1.202
19,RECIFE,1284,APAC,0.534
302,HIPODROMO,1265,APAC,0.697
183,ROSARINHO,1265,APAC,1.552
310,CAMPINA DO BARRETO,1261,APAC,0.481
442,CASA FORTE,1182,APAC,1.431
469,PARNAMIRIM,1260,APAC,1.733
418,GUABIRABA,1379,APAC,3.107
43,ILHA JOANA BEZERRA,1285,APAC,0.904
51,CABANGA,1285,APAC,1.322
78,ILHA DO LEITE,1285,APAC,0.562
639,PAU FERRO,1224,APAC,3.636
795,MANGUEIRA,1213,APAC,0.626
108,SANTO AMARO,1373,APAC,0.584
86,BOA VISTA,1285,APAC,1.183
124,ESPINHEIRO,1265,APAC,1.108
140,DERBY,1285,APAC,1.761
450,SANTANA,1182,APAC,2.204
94,PAISSANDU,1285,APAC,0.984
914,TOTO,1176,APAC,0.867
167,GRACAS,1265,APAC,2.015
655,TORRE,1260,APAC,2.782
329,ARRUDA,1180,APAC,1.403
710,ENGENHO DO MEIO,1263,APAC,2.619
353,CAJUEIRO,1261,APAC,0.507
884,COHAB,1262,APAC,0.408
671,ZUMBI,1213,APAC,2.376
191,TAMARINEIRA,1260,APAC,1.884
809,BONGI,1213,APAC,1.053
728,CIDADE UNIVERSITARIA,1263,APAC,1.789
272,TORREAO,1265,APAC,0.374
159,JAQUEIRA,1260,APAC,2.303
841,CACOTE,1275,APAC,0.286
213,IPSEP,1275,APAC,1.186
361,PORTO DA MADEIRA,1180,APAC,0.553
221,JORDAO,1177,APAC,1.447
663,PRADO,1213,APAC,1.691
701,TORROES,1213,APAC,1.797
590,DOIS IRMAOS,1178,APAC,0.807
647,MADALENA,1285,APAC,2.509
116,SOLEDADE,1285,APAC,1.349
698,IPUTINGA,1182,APAC,1.691
817,SAN MARTIN,1213,APAC,0.608
868,JARDIM SAO PAULO,1213,APAC,2.324
850,AREIAS,1275,APAC,0.819
515,MANGABEIRA,1260,APAC,1.47
400,PASSARINHO,1173,APAC,1.06
892,TEJIPIO,1176,APAC,1.347
680,CORDEIRO,1213,APAC,2.539
922,COQUEIRAL,1176,APAC,0.339
477,POCO,1182,APAC,1.342
876,BARRO,1172,APAC,2.161
833,ESTANCIA,1213,APAC,1.383
345,FUNDAO,1180,APAC,0.273
744,CAXANGA,1174,APAC,1.103
604,SITIO DOS PINTOS,1223,APAC,1.154
370,BEBERIBE,1180,APAC,0.891
426,BOMBA DO HEMETERIO,1180,APAC,1.465
434,CASA AMARELA,1260,APAC,0.822
388,LINHA DO TIRO,1180,APAC,1.474
175,ENCRUZILHADA,1265,APAC,0.774
256,BRASILIA TEIMOSA,1285,APAC,1.898
523,ALTO JOSE DO PINHO,1260,APAC,0.807
248,PINA,1264,APAC,0.953
612,BREJO DA GUABIRABA,1259,APAC,0.359
760,ILHA DO RETIRO,1285,APAC,1.614
787,MUSTARDINHA,1213,APAC,0.638
485,MONTEIRO,1182,APAC,0.352
230,IBURA,1177,APAC,1.095
540,ALTO JOSE BONIFACIO,1260,APAC,0.666
493,ALTO DO MANDU,1182,APAC,0.253
531,MORRO DA CONCEICAO,1260,APAC,0.109
558,VASCO DA GAMA,1260,APAC,0.91
205,BOA VIAGEM,1181,APAC,1.448
949,ALTO SANTA TEREZINHA,1260,APAC,0.841
280,CAMPO GRANDE,1265,APAC,0.836
582,MACAXEIRA,1237,APAC,0.806
566,NOVA DESCOBERTA,1237,APAC,0.921
574,BREJO DE BEBERIBE,1259,APAC,1.486
337,AGUA FRIA,1180,APAC,0.708
264,IMBIRIBEIRA,1181,APAC,1.759
825,JIQUIA,1213,APAC,1.279
779,AFOGADOS,1213,APAC,1.574
507,APIPUCOS,1174,APAC,1.07
620,CORREGO DO JENIPAPO,1237,APAC,0.494
930,PONTO DE PARADA,1265,APAC,1.264
