codigo_estacao,nome_estacao,fonte,latitude,longitude,codigo_bairro,nome_bairro
A307,PETROLINA,INMET,-9.38833333,-40.52333332,,
A309,ARCO VERDE,INMET,-8.4336111,-37.05555555,,
A322,GARANHUNS,INMET,-8.91083333,-36.49333333,,
A328,SURUBIM,INMET,-7.83972221,-35.80111111,,
A329,CABROBO,INMET,-8.50388888,-39.31527777,,
A341,CARUARU,INMET,-8.36527777,-36.02833332,,
A349,IBIMIRIM,INMET,-8.50944444,-37.71166666,,
A350,SERRA TALHADA,INMET,-7.95416666,-38.29499999,,
A351,FLORESTA,INMET,-8.59888888,-38.58416666,,
A357,PALMARES,INMET,-8.66666666,-35.56805554,,
A366,OURICURI,INMET,-7.88583333,-40.10277777,,
A370,SALGUEIRO,INMET,-8.05805555,-39.0961111,,
1190,CARUARU - 1º DISTRITO*,APAC,-8.34,-36.067,,
1189,CARUARU - 2º DISTRITO*,APAC,-8.176,-35.973,,
1170,DISTRITO INDUSTRIAL-TIMBÓ - ABREU E LIMA,APAC,-7.917,-34.898,,
1372,IPA- APAC - ABREU E LIMA,APAC,-7.89564,-34.94196,,
1443,SÃO JOÃO - AÇUDE MUNICIPAL - APAC,APAC,-8.87817,-36.36808,,
1513,AGRESTINA - AGRESTINA - APAC,APAC,-8.441758,-35.952225,,
1173,OLINDA - ÁGUAS COMPRIDAS*,APAC,-7.983,-34.912,,
1202,OLINDA - AGUAZINHA*,APAC,-7.999,-34.887,,
1589,ALAGOINHA - ALAGOINHA [GARAGEM MUNICIPAL] - APAC,APAC,-8.46269,-36.7675,,
1222,CAMARAGIBE - ALBERTO MAIA*,APAC,-8.02,-35.003,,
1186,CAMARAGIBE - ALDEIA*,APAC,-7.956,-35.009,,
1250,IGARASSU - ALTO DO CÉU*,APAC,-7.807,-34.933,,
1392,GLÓRIA DO GOITÁ - APODI - APAC,APAC,-8.05472,-35.38903,,
1590,ARARIPINA - ARARIPINA - APAC,APAC,-7.5771,-40.5058,,
1389,RIBEIRÃO - ARIPIBU - APAC,APAC,-8.44341,-35.34595,,
1499,AFRÂNIO - ARIZONA - APAC,APAC,-8.673611,-40.961361,,
1384,CONDADO - ASSENTAMENTO - APAC,APAC,-7.58028,-35.10253,,
1459,SALOÁ - ASSENTAMENTO - APAC,APAC,-8.97084,-36.66869,,
1444,FEIRA NOVA - ASSENTAMENTO - APAC,APAC,-7.92885,-35.39204,,
1402,RIO FORMOSO - ASSENTAMENTO MINGUITO - APAC,APAC,-8.67534,-35.16051,,
1270,VITÓRIA DE SANTO ANTÃO - BAIRRO C*,APAC,-8.121,-35.325,,
1238,ÁGUA PRETA - BAIRRO D'OURO*,APAC,-8.694,-35.526,,
1287,CAMARAGIBE - BAIRRO DOS ESTADOS*,APAC,-8.026,-34.975,,
1214,RIBEIRÃO - BANDEIRANTE*,APAC,-8.507,-35.385,,
1512,BARRA DE GUABIRABA - BARRA DE GUABIRABA - APAC,APAC,-8.424057,-35.655684,,
1230,JABOATÃO DOS GUARARAPES - BARRA DE JANGADA*,APAC,-8.22,-34.932,,
1219,SÃO LOURENÇO DA MATA - BARRA DO RIACHÃO*,APAC,-7.995,-35.035,,
1218,SÃO JOAQUIM DO MONTE - BARRA DO RIACHÃO*,APAC,-8.507,-35.895,,
1169,BARREIROS - BARREIROS [BANCO BRASIL],APAC,-8.813,-35.199,,
1243,BELÉM DE MARIA - BATATEIRAS*,APAC,-8.558,-35.829,,
1583,BELO JARDIM - BELO JARDIM [15 BPM] - APAC,APAC,-8.34427,-36.41994,,
1414,POMBOS - BOCA DA MATA - APAC,APAC,-8.18056,-35.39389,,
1580,BODOCÃ“ - BODOCÃ³ [IPA] - APAC,APAC,-7.78115,-39.93791,,
1585,BOM CONSELHO - BOM CONSELHO [9 BPM] - APAC,APAC,-9.16302,-36.68862,,
1485,SÃO JOSÉ DO BELMONTE - BOM NOME - APAC,APAC,-7.99622,-38.62486,,
1236,MORENO - BONANÇA,APAC,-8.105,-35.195,,
1520,BONITO - BONITO 2 - APAC,APAC,-8.527204,-35.723541,,
1203,OLINDA - BONSUCESSO*,APAC,-8.008,-34.851,,
1375,ITAPISSUMA - BOTAFOGO - APAC,APAC,-7.74968,-34.93442,,
1220,CABROBÓ - BR 428 - KM 05*,APAC,-8.528,-39.268,,
1524,DORMENTES - CAATINGA GRANDE - APAC,APAC,-8.581139,-40.693917,,
1511,CABO (DESTILÁRIA LIBERDADE) - CABO - APAC,APAC,-8.28071,-35.15927,,
1271,VITÓRIA DE SANTO ANTÃO - CAJÁ*,APAC,-8.111,-35.284,,
1274,JABOATÃO DOS GUARARAPES - CAJUEIRO SECO*,APAC,-8.168,-34.928,,
1253,IPOJUCA - CAMELA*,APAC,-8.511,-35.122,,
1422,CAMOCIM DE SÃO FÉLIX - CAMOCIM DE SÃO FÉLIX,APAC,-8.38233,-35.75939,,
1286,CATENDE - CANAÃ*,APAC,-8.67,-35.737,,
1527,CANHOTINHO - CANHOTINHO - APAC,APAC,-8.853297,-36.167267,,
1382,ITAMBÉ - CARICÉ - APAC,APAC,-7.52595,-35.08494,,
1488,SÃO JOSÉ DO BELMONTE - CARMO - APAC,APAC,-7.83268,-38.76422,,
1566,CARNAÍBA - CARNAÍBA [PREFEITURA] - APAC,APAC,-7.80153,-37.80442,,
1176,JABOATÃO DOS GUARARAPES - CAVALEIRO 2*,APAC,-8.09,-34.97,,
1172,JABOATÃO DOS GUARARAPES - CAVALEIRO*,APAC,-8.096,-34.971,,
1407,FERREIROS - CENTRO CULTURAL - APAC,APAC,-7.4482,-35.24111,,
1248,GAMELEIRA - CENTRO*,APAC,-8.33,-34.956,,
1244,BEZERROS - CENTRO*,APAC,-8.228,-35.751,,
1241,BARRA DE GUABIRABA - CENTRO*,APAC,-8.418,-35.664,,
1252,IPOJUCA - CENTRO*,APAC,-8.4,-35.064,,
1240,ÁGUAS BELAS - CENTRO*,APAC,-9.116,-37.118,,
1255,PRIMAVERA - CENTRO*,APAC,-8.331,-35.352,,
1256,QUIPAPÁ - CENTRO*,APAC,-8.83,-36.013,,
1279,SANHARÓ - CENTRO*,APAC,-8.359,-36.564,,
1273,XEXÉU - CENTRO*,APAC,-8.805,-35.627,,
1291,FLORESTA - CENTRO*,APAC,-8.598,-38.581,,
1269,VICÊNCIA - CENTRO*,APAC,-7.656,-35.319,,
1293,LAJEDO - CENTRO*,APAC,-8.66027,-36.32232,,
1294,CHÃ GRANDE - CENTRO*,APAC,-8.24445,-35.45956,,
1296,TACAIMBÓ - CENTRO*,APAC,-8.32182,-36.29068,,
1268,SIRINHAÉM - CENTRO*,APAC,-8.592,-35.116,,
1225,IPUBI - CENTRO*,APAC,-7.651,-40.147,,
1278,POÇÃO - CENTRO*,APAC,-8.185,-36.707,,
1228,JABOATÃO DOS GUARARAPES - CENTRO*,APAC,-8.112,-35.015,,
1217,SÃO BENEDITO DO SUL - CENTRO*,APAC,-8.812,-35.932,,
1206,OROCÓ - CENTRO*,APAC,-8.619,-39.602,,
1221,CACHOEIRINHA - CENTRO*,APAC,-8.484,-36.238,,
1187,CARUARU - CENTRO*,APAC,-8.285,-35.976,,
1215,RIO FORMOSO - CENTRO*,APAC,-8.507,-35.385,,
1200,NAZARÉ DA MATA - CENTRO*,APAC,-7.74,-35.226,,
1193,CATENDE - CENTRO*,APAC,-8.669,-35.72,,
1232,JOAQUIM NABUCO - CENTRO*,APAC,-8.626,-35.526,,
1234,MARAIAL - CENTRO*,APAC,-8.783,-35.811,,
1198,MORENO - CENTRO*,APAC,-8.118,-35.101,,
1195,CORRENTES - CENTRO*,APAC,-9.128,-36.329,,
1387,CHÃ DE ALEGRIA - CHÃ DE ALEGRIA - APAC [COMPESA],APAC,-7.99754,-35.21584,,
1245,CABO DE SANTO AGOSTINHO - CHARNECA*,APAC,-8.297,-35.057,,
1188,CARUARU - CIDADE JARDIM*,APAC,-8.277,-35.949,,
1380,IGARASSU - CIPOMA - APAC,APAC,-7.87247,-34.91201,,
1486,IGUARACI - COMPESA - APAC,APAC,-7.83732,-37.51445,,
1494,MOREILÂNDIA - COMPESA - APAC,APAC,-7.6275,-39.55122,,
1490,IPUBI - COMPESA - APAC,APAC,-7.65828,-40.15728,,
1451,CASINHAS - COMPESA - APAC,APAC,-7.74606,-35.72544,,
1419,CORTÊS - COMPESA - APAC,APAC,-8.47064,-35.5445,,
1453,SANTA CRUZ DO CAPIBARIBE - COMPESA - APAC,APAC,-7.95798,-36.21818,,
1487,BREJINHO - COMPESA - APAC,APAC,-7.34566,-37.2897,,
1481,CALUMBI - COMPESA - APAC,APAC,-7.93881,-38.15294,,
1424,SÃO JOAQUIM DO MONTE - COMPESA - APAC,APAC,-8.43273,-35.80494,,
1418,SÃO BENEDITO DO SUL - COMPESA - APAC,APAC,-8.80252,-35.93886,,
1436,MACHADOS - COMPESA - APAC,APAC,-7.68894,-35.50866,,
1412,BUENOS AIRES - COMPESA - APAC,APAC,-7.72334,-35.32334,,
