ano_epidemiologico,agravo,casos
2013,CHIKUNGUNYA,0
2013,DENGUE,3220
2013,ZIKA,0
2014,CHIKUNGUNYA,0
2014,DENGUE,1201
2014,ZIKA,0
2015,CHIKUNGUNYA,425
2015,DENGUE,33294
2015,ZIKA,223
2016,CHIKUNGUNYA,7330
2016,DENGUE,19141
2016,ZIKA,4463
2017,CHIKUNGUNYA,1122
2017,DENGUE,2486
2017,ZIKA,142
2018,CHIKUNGUNYA,667
2018,DENGUE,2633
2018,ZIKA,135
2019,CHIKUNGUNYA,1439
2019,DENGUE,7245
2019,ZIKA,212
2020,CHIKUNGUNYA,2824
2020,DENGUE,3585
2020,ZIKA,250
2021,CHIKUNGUNYA,17658
2021,DENGUE,10891
2021,ZIKA,0
2022,CHIKUNGUNYA,2110
2022,DENGUE,2876
2022,ZIKA,215
2023,CHIKUNGUNYA,1555
2023,DENGUE,3522
2023,ZIKA,226
2024,CHIKUNGUNYA,2478
2024,DENGUE,10536
2024,ZIKA,475
2025,CHIKUNGUNYA,1944
2025,DENGUE,9162
2025,ZIKA,819
