codigo_bairro,nome_bairro,casos,posicao
884,COHAB,8836,1
230,IBURA,8408,2
736,VARZEA,6334,3
337,AGUA FRIA,5667,4
698,IPUTINGA,5409,5
264,IMBIRIBEIRA,5241,6
205,BOA VIAGEM,5196,7
566,NOVA DESCOBERTA,5077,8
280,CAMPO GRANDE,4184,9
779,AFOGADOS,4163,10
558,VASCO DA GAMA,3941,11
396,DOIS UNIDOS,3829,12
108,SANTO AMARO,3498,13
434,CASA AMARELA,3461,14
850,AREIAS,3319,15
680,CORDEIRO,3178,16
868,JARDIM SAO PAULO,3132,17
701,TORROES,2966,18
310,CAMPINA DO BARRETO,2705,19
248,PINA,2675,20
221,JORDAO,2557,21
213,IPSEP,2287,22
582,MACAXEIRA,2275,23
329,ARRUDA,2188,24
817,SAN MARTIN,2133,25
388,LINHA DO TIRO,2006,26
540,ALTO JOSE BONIFACIO,1968,27
647,MADALENA,1922,28
400,PASSARINHO,1865,29
43,ILHA JOANA BEZERRA,1725,30
426,BOMBA DO HEMETERIO,1627,31
523,ALTO JOSE DO PINHO,1574,32
531,MORRO DA CONCEICAO,1471,33
256,BRASILIA TEIMOSA,1467,34
876,BARRO,1456,35
655,TORRE,1387,36
370,BEBERIBE,1345,37
86,BOA VISTA,1212,38
418,GUABIRABA,1205,39
833,ESTANCIA,1167,40
787,MUSTARDINHA,1160,41
612,BREJO DA GUABIRABA,1122,42
710,ENGENHO DO MEIO,1107,43
744,CAXANGA,1091,44
620,CORREGO DO JENIPAPO,1089,45
353,CAJUEIRO,1029,46
35,SAO JOSE,1021,47
191,TAMARINEIRA,1012,48
663,PRADO,1005,49
60,COELHOS,978,50
795,MANGUEIRA,970,51
345,FUNDAO,966,52
493,ALTO DO MANDU,895,53
175,ENCRUZILHADA,854,54
809,BONGI,852,55
671,ZUMBI,809,56
361,PORTO DA MADEIRA,775,57
825,JIQUIA,771,58
892,TEJIPIO,770,59
574,BREJO DE BEBERIBE,748,60
922,COQUEIRAL,717,61
515,MANGABEIRA,690,62
949,ALTO SANTA TEREZINHA,685,63
590,DOIS IRMAOS,683,64
752,CURADO,646,65
167,GRACAS,634,66
604,SITIO DOS PINTOS,621,67
124,ESPINHEIRO,525,68
841,CACOTE,486,69
442,CASA FORTE,473,70
299,PEIXINHOS,454,71
906,SANCHO,432,72
183,ROSARINHO,422,73
914,TOTO,333,74
760,ILHA DO RETIRO,316,75
507,APIPUCOS,312,76
19,RECIFE,311,77
485,MONTEIRO,300,78
469,PARNAMIRIM,282,79
930,PONTO DE PARADA,263,80
477,POCO,253,81
132,AFLITOS,192,82
450,SANTANA,183,83
51,CABANGA,180,84
302,HIPODROMO,177,85
728,CIDADE UNIVERSITARIA,156,86
27,SANTO ANTONIO,135,87
140,DERBY,106,88
116,SOLEDADE,104,89
272,TORREAO,98,90
78,ILHA DO LEITE,95,91
94,PAISSANDU,80,92
159,JAQUEIRA,79,93
639,PAU FERRO,1,94
