semana_epidemiologica,casos_totais,casos_media_por_ano,anos_observados
1,1610,123.84615384615384,13
2,1921,147.76923076923077,13
3,2384,183.3846153846154,13
4,2546,195.84615384615384,13
5,2710,208.46153846153845,13
6,2553,196.3846153846154,13
7,3618,278.3076923076923,13
8,4237,325.9230769230769,13
9,4069,313.0,13
10,3882,298.61538461538464,13
11,4634,356.46153846153845,13
12,4028,309.84615384615387,13
13,3854,296.46153846153845,13
14,4412,339.38461538461536,13
15,4106,315.84615384615387,13
16,4309,331.46153846153845,13
17,4222,324.7692307692308,13
18,3978,306.0,13
19,3626,278.9230769230769,13
20,4014,308.7692307692308,13
21,4268,328.3076923076923,13
22,3893,299.46153846153845,13
23,4161,320.0769230769231,13
24,4076,313.53846153846155,13
25,3100,238.46153846153845,13
26,3856,296.61538461538464,13
27,3764,289.53846153846155,13
28,3562,274.0,13
29,3516,270.46153846153845,13
30,3398,261.38461538461536,13
31,2968,228.30769230769232,13
32,2896,222.76923076923077,13
33,3252,250.15384615384616,13
34,3118,239.84615384615384,13
35,2576,198.15384615384616,13
36,2204,169.53846153846155,13
37,2097,161.30769230769232,13
38,2076,159.69230769230768,13
39,2102,161.69230769230768,13
40,2189,168.3846153846154,13
41,1801,138.53846153846155,13
42,2050,157.69230769230768,13
43,1961,150.84615384615384,13
44,1640,126.15384615384616,13
45,2401,184.69230769230768,13
46,1943,149.46153846153845,13
47,1959,150.69230769230768,13
48,2136,164.30769230769232,13
49,1959,150.69230769230768,13
50,1935,148.84615384615384,13
51,1626,125.07692307692308,13
52,1221,93.92307692307692,13
53,87,29.0,3
