ano_epidemiologico,semana_epidemiologica,semana_epi_data_inicio,casos,bairros_com_caso,linhas_com_clima_real,precipitacao_media_mm
2013,1,2012-12-30,8,8,0,
2013,2,2013-01-06,23,16,0,
2013,3,2013-01-13,29,22,0,
2013,4,2013-01-20,18,18,0,
2013,5,2013-01-27,30,21,0,
2013,6,2013-02-03,26,19,0,
2013,7,2013-02-10,36,26,0,
2013,8,2013-02-17,46,26,0,
2013,9,2013-02-24,50,34,0,
2013,10,2013-03-03,47,31,0,
2013,11,2013-03-10,49,33,0,
2013,12,2013-03-17,54,35,0,
2013,13,2013-03-24,64,31,0,
2013,14,2013-03-31,166,48,0,
2013,15,2013-04-07,140,52,0,
2013,16,2013-04-14,135,50,0,
2013,17,2013-04-21,155,55,0,
2013,18,2013-04-28,134,39,0,
2013,19,2013-05-05,211,44,0,
2013,20,2013-05-12,141,40,0,
2013,21,2013-05-19,156,39,0,
2013,22,2013-05-26,139,48,0,
2013,23,2013-06-02,120,52,0,
2013,24,2013-06-09,86,40,0,
2013,25,2013-06-16,79,40,0,
2013,26,2013-06-23,55,37,0,
2013,27,2013-06-30,58,32,0,
2013,28,2013-07-07,36,24,0,
2013,29,2013-07-14,47,33,0,
2013,30,2013-07-21,59,32,0,
2013,31,2013-07-28,54,32,0,
2013,32,2013-08-04,54,39,0,
2013,33,2013-08-11,44,28,0,
2013,34,2013-08-18,33,19,0,
2013,35,2013-08-25,45,28,0,
2013,36,2013-09-01,27,24,0,
2013,37,2013-09-08,29,18,0,
2013,38,2013-09-15,33,20,0,
2013,39,2013-09-22,21,17,0,
2013,40,2013-09-29,58,33,0,
2013,41,2013-10-06,31,21,0,
2013,42,2013-10-13,36,24,0,
2013,43,2013-10-20,71,32,0,
2013,44,2013-10-27,47,23,0,
2013,45,2013-11-03,42,28,0,
2013,46,2013-11-10,22,16,0,
2013,47,2013-11-17,28,19,0,
2013,48,2013-11-24,35,23,0,
2013,49,2013-12-01,38,28,0,
2013,50,2013-12-08,23,18,0,
2013,51,2013-12-15,26,17,0,
2013,52,2013-12-22,26,19,0,
2014,1,2013-12-29,20,16,0,
2014,2,2014-01-05,36,23,0,
2014,3,2014-01-12,31,24,0,
2014,4,2014-01-19,38,27,0,
2014,5,2014-01-26,58,34,0,
2014,6,2014-02-02,40,25,0,
2014,7,2014-02-09,37,25,0,
2014,8,2014-02-16,51,38,0,
2014,9,2014-02-23,44,29,0,
2014,10,2014-03-02,21,21,0,
2014,11,2014-03-09,48,30,0,
2014,12,2014-03-16,48,31,0,
2014,13,2014-03-23,38,26,0,
2014,14,2014-03-30,34,28,0,
2014,15,2014-04-06,39,27,0,
2014,16,2014-04-13,46,25,0,
2014,17,2014-04-20,51,34,0,
2014,18,2014-04-27,45,30,0,
2014,19,2014-05-04,61,30,0,
2014,20,2014-05-11,57,30,0,
2014,21,2014-05-18,76,41,0,
2014,22,2014-05-25,61,38,0,
2014,23,2014-06-01,52,31,0,
2014,24,2014-06-08,47,26,0,
2014,25,2014-06-15,31,20,0,
2014,26,2014-06-22,29,17,0,
2014,27,2014-06-29,16,13,0,
2014,28,2014-07-06,26,17,0,
2014,29,2014-07-13,15,8,0,
2014,30,2014-07-20,4,4,0,
2014,31,2014-07-27,1,1,0,
2014,32,2014-08-03,0,0,0,
2014,33,2014-08-10,0,0,0,
2014,34,2014-08-17,0,0,0,
2014,35,2014-08-24,0,0,0,
2014,36,2014-08-31,0,0,0,
2014,37,2014-09-07,0,0,0,
2014,38,2014-09-14,0,0,0,
2014,39,2014-09-21,0,0,0,
2014,40,2014-09-28,0,0,0,
2014,41,2014-10-05,0,0,0,
2014,42,2014-10-12,0,0,0,
2014,43,2014-10-19,0,0,0,
2014,44,2014-10-26,0,0,0,
2014,45,2014-11-02,0,0,0,
2014,46,2014-11-09,0,0,0,
2014,47,2014-11-16,0,0,0,
2014,48,2014-11-23,0,0,0,
2014,49,2014-11-30,0,0,0,
2014,50,2014-12-07,0,0,0,
2014,51,2014-12-14,0,0,0,
2014,52,2014-12-21,0,0,0,
2014,53,2014-12-28,0,0,0,
2015,1,2015-01-04,131,38,0,
2015,2,2015-01-11,259,59,0,
2015,3,2015-01-18,326,64,0,
2015,4,2015-01-25,444,65,0,
2015,5,2015-02-01,518,69,0,
2015,6,2015-02-08,595,75,0,
2015,7,2015-02-15,403,71,0,
2015,8,2015-02-22,678,83,0,
2015,9,2015-03-01,722,83,0,
2015,10,2015-03-08,1123,87,0,
2015,11,2015-03-15,1327,82,0,
2015,12,2015-03-22,1450,91,0,
2015,13,2015-03-29,1127,82,0,
2015,14,2015-04-05,1542,88,0,
2015,15,2015-04-12,1374,89,0,
2015,16,2015-04-19,1292,85,0,
2015,17,2015-04-26,1321,83,0,
2015,18,2015-05-03,1238,86,0,
2015,19,2015-05-10,975,83,0,
2015,20,2015-05-17,755,77,0,
2015,21,2015-05-24,552,76,0,
2015,22,2015-05-31,499,69,0,
2015,23,2015-06-07,491,73,0,
2015,24,2015-06-14,456,75,0,
2015,25,2015-06-21,295,62,0,
2015,26,2015-06-28,371,55,0,
2015,27,2015-07-05,423,57,0,
2015,28,2015-07-12,223,48,0,
2015,29,2015-07-19,347,59,0,
2015,30,2015-07-26,299,54,0,
2015,31,2015-08-02,253,41,0,
2015,32,2015-08-09,182,50,0,
2015,33,2015-08-16,308,45,0,
2015,34,2015-08-23,489,46,0,
2015,35,2015-08-30,362,55,0,
2015,36,2015-09-06,335,53,0,
2015,37,2015-09-13,272,56,0,
2015,38,2015-09-20,210,59,0,
2015,39,2015-09-27,258,61,0,
2015,40,2015-10-04,434,66,0,
2015,41,2015-10-11,474,62,0,
2015,42,2015-10-18,565,75,0,
2015,43,2015-10-25,478,75,0,
2015,44,2015-11-01,461,72,0,
2015,45,2015-11-08,875,100,0,
2015,46,2015-11-15,980,89,0,
2015,47,2015-11-22,906,103,0,
2015,48,2015-11-29,1136,103,0,
2015,49,2015-12-06,890,113,0,
2015,50,2015-12-13,1078,148,0,
2015,51,2015-12-20,700,114,0,
2015,52,2015-12-27,740,124,0,
2016,1,2016-01-03,932,150,0,
2016,2,2016-01-10,997,141,0,
2016,3,2016-01-17,1317,168,0,
2016,4,2016-01-24,1401,180,0,
2016,5,2016-01-31,1457,177,0,
2016,6,2016-02-07,1075,203,0,
2016,7,2016-02-14,2268,204,0,
2016,8,2016-02-21,2098,214,0,
2016,9,2016-02-28,1805,223,0,
2016,10,2016-03-06,1452,214,0,
2016,11,2016-03-13,1451,215,0,
2016,12,2016-03-20,849,186,0,
2016,13,2016-03-27,1094,198,0,
2016,14,2016-04-03,1130,203,0,
2016,15,2016-04-10,859,172,0,
2016,16,2016-04-17,1360,156,0,
2016,17,2016-04-24,871,177,0,
2016,18,2016-05-01,816,169,0,
2016,19,2016-05-08,571,160,0,
2016,20,2016-05-15,721,166,0,
2016,21,2016-05-22,527,138,0,
2016,22,2016-05-29,373,133,0,
2016,23,2016-06-05,416,128,0,
2016,24,2016-06-12,502,148,0,
2016,25,2016-06-19,269,101,0,
2016,26,2016-06-26,415,137,0,
2016,27,2016-07-03,341,120,0,
2016,28,2016-07-10,259,111,0,
2016,29,2016-07-17,253,98,0,
2016,30,2016-07-24,204,89,0,
2016,31,2016-07-31,210,101,0,
2016,32,2016-08-07,225,98,0,
2016,33,2016-08-14,352,111,0,
2016,34,2016-08-21,252,89,0,
2016,35,2016-08-28,145,73,0,
2016,36,2016-09-04,115,64,0,
2016,37,2016-09-11,127,70,0,
2016,38,2016-09-18,165,83,0,
2016,39,2016-09-25,142,69,0,
2016,40,2016-10-02,156,75,0,
2016,41,2016-10-09,73,48,0,
2016,42,2016-10-16,121,68,0,
2016,43,2016-10-23,98,63,0,
2016,44,2016-10-30,64,51,0,
2016,45,2016-11-06,68,48,0,
2016,46,2016-11-13,46,39,0,
2016,47,2016-11-20,109,73,0,
2016,48,2016-11-27,65,48,0,
2016,49,2016-12-04,80,57,0,
2016,50,2016-12-11,78,54,0,
2016,51,2016-12-18,87,50,0,
2016,52,2016-12-25,73,49,0,
2017,1,2017-01-01,67,46,0,
2017,2,2017-01-08,73,43,0,
2017,3,2017-01-15,79,53,0,
2017,4,2017-01-22,78,54,0,
2017,5,2017-01-29,68,44,0,
2017,6,2017-02-05,108,53,0,
2017,7,2017-02-12,128,69,0,
2017,8,2017-02-19,96,53,0,
2017,9,2017-02-26,41,30,0,
2017,10,2017-03-05,77,48,0,
2017,11,2017-03-12,111,54,0,
2017,12,2017-03-19,96,59,0,
2017,13,2017-03-26,161,77,0,
2017,14,2017-04-02,81,44,0,
