ano,n_positivos_oficial,n_positivos_alt,concordancia,jaccard
2014,105,28,0.9768821603927987,0.08130081300813008
2015,2908,495,0.5018412438625205,0.1658102089756766
2016,893,250,0.8361292962356792,0.17592592592592593
2017,56,31,0.9867021276595744,0.14473684210526316
2018,98,42,0.9762684124386252,0.09375
2019,574,150,0.8919803600654664,0.15654952076677317
2020,221,85,0.9554395824969891,0.1590909090909091
2021,814,198,0.8551554828150573,0.17674418604651163
2022,96,65,0.976063829787234,0.15827338129496402
2023,126,69,0.9662438625204582,0.08333333333333333
2024,557,269,0.8817512274959084,0.17663817663817663
2025,640,216,0.8739462063428342,0.15363881401617252
