faixa,n,proba_media,frequencia_observada
"(-0.0015609999999999999, 0.0983]",4977,0.04342617480942734,0.020896122161944947
"(0.0983, 0.196]",3147,0.14449635972778987,0.05370193835398793
"(0.196, 0.294]",1916,0.24053766775317925,0.08194154488517745
"(0.294, 0.392]",1342,0.3407650749026534,0.10879284649776454
"(0.392, 0.49]",996,0.4386217185497566,0.11746987951807229
"(0.49, 0.588]",693,0.5350914304362154,0.1673881673881674
"(0.588, 0.686]",542,0.63455297919405,0.21033210332103322
"(0.686, 0.784]",464,0.7338036725335795,0.2650862068965517
"(0.784, 0.882]",371,0.828967193726552,0.40700808625336926
"(0.882, 0.979]",216,0.9165330121238918,0.5833333333333334
