faixa,n,proba_media,frequencia_observada
"(-8.100000000000002e-05, 0.101]",5035,0.04418199682242532,0.027805362462760674
"(0.101, 0.2]",3151,0.14659184384471302,0.0561726436052047
"(0.2, 0.298]",2013,0.24322636308515191,0.07401887729756582
"(0.298, 0.397]",1335,0.3479407176475671,0.11385767790262172
"(0.397, 0.496]",888,0.4435619221077406,0.11936936936936937
"(0.496, 0.595]",625,0.5436700689416056,0.1568
"(0.595, 0.694]",526,0.6421713863483828,0.19011406844106463
"(0.694, 0.792]",479,0.7440507746196837,0.26931106471816285
"(0.792, 0.891]",356,0.8408705763896424,0.39325842696629215
"(0.891, 0.99]",256,0.929318437595241,0.515625
