faixa,n,proba_media,frequencia_observada
"(-0.0019169999999999999, 0.0917]",10833,0.032031069050936944,0.0473553032400997
"(0.0917, 0.183]",1640,0.12764536849780656,0.11768292682926829
"(0.183, 0.275]",1074,0.22000945604722238,0.1908752327746741
"(0.275, 0.367]",280,0.2975857130301143,0.22142857142857142
"(0.367, 0.458]",324,0.41245643779292473,0.2932098765432099
"(0.458, 0.55]",176,0.46594248639200125,0.45454545454545453
"(0.55, 0.642]",283,0.5956980862728467,0.49823321554770317
"(0.642, 0.733]",23,0.7323943661971831,0.5217391304347826
"(0.733, 0.825]",16,0.7892419815645133,0.8125
"(0.825, 0.917]",15,0.869047619047619,0.6
