ano,n_episodios,duracao_media_semanas,casos_totais_episodio_media,casos_pico_media,casos_pico_mediana,n_bairros_distintos
2014,94,1.1170212765957446,2.4680851063829787,2.24468085106383,2.0,54
2015,668,4.5553892215568865,54.205089820359284,9.196107784431138,3.0,94
2016,357,2.123249299719888,21.5406162464986,8.568627450980392,4.0,91
2017,51,1.0980392156862746,3.0588235294117645,2.7450980392156863,2.0,37
2018,82,1.1951219512195121,3.3780487804878048,2.768292682926829,2.0,54
2019,318,1.8050314465408805,9.742138364779874,5.430817610062893,4.0,91
2020,150,1.4733333333333334,7.773333333333333,5.34,4.0,72
2021,341,2.3870967741935485,20.885630498533725,8.070381231671554,5.0,92
2022,81,1.1851851851851851,3.9012345679012346,2.9012345679012346,2.0,49
2023,117,1.0769230769230769,2.6495726495726495,2.4957264957264957,2.0,56
2024,406,1.374384236453202,8.738916256157635,5.724137931034483,3.0,92
2025,397,1.6095717884130982,8.481108312342569,4.853904282115869,3.0,92
