codigo_bairro,inicio_indice,fim_indice,inicio_ano,inicio_semana,duracao_semanas,casos_totais_episodio,casos_pico,detectado,classificacao,lead_time_semanas,semana_alvo_deteccao
230,583,589,2024,10,7,272.0,68.0,True,tardio,-2.0,585.0
337,656,664,2025,31,9,153.0,25.0,True,tardio,-1.0,657.0
868,583,589,2024,10,7,153.0,28.0,True,tardio,-2.0,585.0
280,654,661,2025,29,8,137.0,25.0,True,tardio,-2.0,656.0
108,581,589,2024,8,9,111.0,18.0,True,tardio,-1.0,582.0
884,661,667,2025,36,7,104.0,20.0,True,tardio,-1.0,662.0
566,587,590,2024,14,4,97.0,34.0,True,tardio,-1.0,588.0
310,653,661,2025,28,9,87.0,14.0,True,tardio,-1.0,654.0
558,584,588,2024,11,5,71.0,18.0,True,tardio,-1.0,585.0
264,584,585,2024,11,2,69.0,35.0,True,tardio,-1.0,585.0
264,663,667,2025,38,5,63.0,16.0,True,antecipado,4.0,659.0
205,655,659,2025,30,5,63.0,15.0,True,tardio,-1.0,656.0
205,663,668,2025,38,6,62.0,15.0,True,antecipado,4.0,659.0
337,666,670,2025,41,5,59.0,13.0,True,antecipado,4.0,662.0
876,581,584,2024,8,4,59.0,20.0,True,tardio,-1.0,582.0
248,584,586,2024,11,3,58.0,22.0,True,tardio,-1.0,585.0
205,581,582,2024,8,2,55.0,31.0,False,perdido,,
736,588,588,2024,15,1,55.0,55.0,False,perdido,,
736,666,669,2025,41,4,54.0,22.0,True,antecipado,4.0,662.0
205,584,584,2024,11,1,52.0,52.0,False,perdido,,
744,587,591,2024,14,5,49.0,15.0,True,antecipado,4.0,583.0
248,653,657,2025,28,5,45.0,13.0,True,antecipado,4.0,649.0
230,594,594,2024,21,1,43.0,43.0,True,antecipado,4.0,590.0
329,658,664,2025,33,7,42.0,9.0,True,tardio,-1.0,659.0
566,584,585,2024,11,2,42.0,21.0,False,perdido,,
884,658,659,2025,33,2,41.0,24.0,False,perdido,,
922,585,590,2024,12,6,41.0,9.0,True,tardio,-1.0,586.0
884,673,677,2025,48,5,40.0,11.0,True,antecipado,3.0,670.0
566,658,661,2025,33,4,39.0,10.0,True,tardio,-1.0,659.0
256,581,584,2024,8,4,38.0,15.0,True,antecipado,1.0,580.0
884,669,671,2025,44,3,37.0,13.0,True,antecipado,4.0,665.0
531,658,665,2025,33,8,36.0,6.0,True,tardio,-2.0,660.0
205,598,599,2024,25,2,34.0,20.0,True,tardio,-1.0,599.0
523,584,589,2024,11,6,34.0,9.0,True,tardio,-1.0,585.0
817,658,663,2025,33,6,34.0,7.0,True,tardio,-1.0,659.0
558,671,674,2025,46,4,32.0,10.0,True,antecipado,3.0,668.0
345,658,667,2025,33,10,32.0,7.0,True,tardio,-1.0,659.0
701,582,583,2024,9,2,31.0,19.0,False,perdido,,
566,663,664,2025,38,2,30.0,19.0,True,antecipado,4.0,659.0
736,600,601,2024,27,2,29.0,15.0,True,antecipado,1.0,599.0
396,658,660,2025,33,3,29.0,15.0,True,antecipado,2.0,656.0
205,588,588,2024,15,1,28.0,28.0,False,perdido,,
256,660,663,2025,35,4,28.0,13.0,True,antecipado,2.0,658.0
264,582,582,2024,9,1,28.0,28.0,False,perdido,,
