codigo_bairro,inicio_indice,fim_indice,inicio_ano,inicio_semana,duracao_semanas,casos_totais_episodio,casos_pico,detectado,classificacao,lead_time_semanas,semana_alvo_deteccao
108,571,571,2023,50,1,3.0,3.0,False,perdido,,
108,581,589,2024,8,9,111.0,18.0,True,tardio,-1.0,582.0
108,591,591,2024,18,1,9.0,9.0,True,antecipado,3.0,588.0
108,597,597,2024,24,1,9.0,9.0,False,perdido,,
108,603,603,2024,30,1,9.0,9.0,False,perdido,,
108,657,657,2025,32,1,13.0,13.0,False,perdido,,
108,667,667,2025,42,1,11.0,11.0,False,perdido,,
108,670,672,2025,45,3,24.0,9.0,False,perdido,,
108,675,676,2025,50,2,11.0,7.0,True,tardio,-1.0,676.0
116,555,555,2023,34,1,1.0,1.0,False,perdido,,
116,576,576,2024,3,1,1.0,1.0,False,perdido,,
116,581,581,2024,8,1,2.0,2.0,True,antecipado,4.0,577.0
116,587,587,2024,14,1,1.0,1.0,False,perdido,,
116,597,597,2024,24,1,1.0,1.0,False,perdido,,
116,602,602,2024,29,1,1.0,1.0,False,perdido,,
116,607,607,2024,34,1,1.0,1.0,False,perdido,,
116,613,613,2024,40,1,1.0,1.0,False,perdido,,
116,620,620,2024,47,1,1.0,1.0,False,perdido,,
116,624,624,2024,51,1,1.0,1.0,False,perdido,,
116,649,650,2025,24,2,5.0,3.0,False,perdido,,
116,653,653,2025,28,1,1.0,1.0,True,antecipado,2.0,651.0
116,655,655,2025,30,1,1.0,1.0,True,antecipado,4.0,651.0
116,660,660,2025,35,1,1.0,1.0,False,perdido,,
116,664,664,2025,39,1,1.0,1.0,False,perdido,,
116,675,675,2025,50,1,1.0,1.0,False,perdido,,
124,561,561,2023,40,1,2.0,2.0,False,perdido,,
124,563,563,2023,42,1,2.0,2.0,False,perdido,,
124,584,584,2024,11,1,6.0,6.0,True,antecipado,4.0,580.0
124,588,588,2024,15,1,3.0,3.0,True,antecipado,3.0,585.0
124,591,591,2024,18,1,3.0,3.0,True,antecipado,2.0,589.0
124,595,595,2024,22,1,4.0,4.0,True,antecipado,3.0,592.0
124,602,602,2024,29,1,2.0,2.0,False,perdido,,
124,609,609,2024,36,1,2.0,2.0,False,perdido,,
124,617,617,2024,44,1,3.0,3.0,False,perdido,,
124,649,649,2025,24,1,3.0,3.0,False,perdido,,
124,661,663,2025,36,3,6.0,2.0,True,tardio,-2.0,663.0
124,667,667,2025,42,1,2.0,2.0,True,antecipado,4.0,663.0
124,672,672,2025,47,1,2.0,2.0,False,perdido,,
132,549,549,2023,28,1,1.0,1.0,False,perdido,,
132,571,571,2023,50,1,1.0,1.0,False,perdido,,
132,597,597,2024,24,1,2.0,2.0,False,perdido,,
132,601,601,2024,28,1,1.0,1.0,False,perdido,,
132,621,621,2024,48,1,1.0,1.0,False,perdido,,
132,664,664,2025,39,1,1.0,1.0,False,perdido,,
140,560,560,2023,39,1,1.0,1.0,False,perdido,,
140,563,563,2023,42,1,1.0,1.0,False,perdido,,
140,575,575,2024,2,1,1.0,1.0,False,perdido,,
140,583,583,2024,10,1,1.0,1.0,False,perdido,,
140,588,588,2024,15,1,1.0,1.0,True,antecipado,4.0,584.0
140,597,597,2024,24,1,1.0,1.0,False,perdido,,
140,609,609,2024,36,1,1.0,1.0,False,perdido,,
140,611,611,2024,38,1,1.0,1.0,False,perdido,,
140,613,613,2024,40,1,1.0,1.0,False,perdido,,
140,622,622,2024,49,1,1.0,1.0,False,perdido,,
140,644,644,2025,19,1,1.0,1.0,False,perdido,,
140,667,668,2025,42,2,3.0,2.0,False,perdido,,
