indice_semana_alvo,indice_semana_seguinte,jaccard,n_bairros_mantidos,k
522,523,0.1111111111111111,2,10
523,524,0.3333333333333333,5,10
524,525,0.1111111111111111,2,10
525,526,0.25,4,10
526,527,0.3333333333333333,5,10
527,528,0.25,4,10
528,529,0.25,4,10
529,530,0.42857142857142855,6,10
530,531,0.3333333333333333,5,10
531,532,0.5384615384615384,7,10
532,533,0.42857142857142855,6,10
533,534,0.42857142857142855,6,10
534,535,0.3333333333333333,5,10
535,536,0.42857142857142855,6,10
536,537,0.8181818181818182,9,10
537,538,0.42857142857142855,6,10
538,539,0.25,4,10
539,540,0.42857142857142855,6,10
540,541,0.3333333333333333,5,10
541,542,0.5384615384615384,7,10
542,543,0.5384615384615384,7,10
543,544,0.5384615384615384,7,10
544,545,0.3333333333333333,5,10
545,546,0.25,4,10
546,547,0.17647058823529413,3,10
547,548,0.25,4,10
548,549,0.42857142857142855,6,10
549,550,0.5384615384615384,7,10
550,551,0.6666666666666666,8,10
551,552,0.5384615384615384,7,10
552,553,0.42857142857142855,6,10
553,554,0.42857142857142855,6,10
554,555,0.3333333333333333,5,10
555,556,0.3333333333333333,5,10
556,557,0.3333333333333333,5,10
557,558,0.5384615384615384,7,10
558,559,0.17647058823529413,3,10
559,560,0.3333333333333333,5,10
560,561,0.42857142857142855,6,10
561,562,0.42857142857142855,6,10
562,563,0.3333333333333333,5,10
563,564,0.3333333333333333,5,10
564,565,0.5384615384615384,7,10
565,566,0.42857142857142855,6,10
566,567,0.42857142857142855,6,10
567,568,0.3333333333333333,5,10
568,569,0.25,4,10
569,570,0.25,4,10
570,571,0.3333333333333333,5,10
571,572,0.25,4,10
572,573,0.1111111111111111,2,10
573,574,0.17647058823529413,3,10
574,575,0.25,4,10
575,576,0.17647058823529413,3,10
576,577,0.17647058823529413,3,10
577,578,0.42857142857142855,6,10
578,579,0.42857142857142855,6,10
579,580,0.25,4,10
580,581,0.25,4,10
581,582,0.3333333333333333,5,10
582,583,0.17647058823529413,3,10
583,584,0.3333333333333333,5,10
584,585,0.1111111111111111,2,10
585,586,0.05263157894736842,1,10
586,587,0.1111111111111111,2,10
587,588,0.17647058823529413,3,10
588,589,0.1111111111111111,2,10
589,590,0.25,4,10
590,591,0.25,4,10
591,592,0.25,4,10
592,593,0.25,4,10
593,594,0.17647058823529413,3,10
594,595,0.3333333333333333,5,10
595,596,0.3333333333333333,5,10
596,597,0.3333333333333333,5,10
597,598,0.25,4,10
598,599,0.1111111111111111,2,10
599,600,0.17647058823529413,3,10
600,601,0.25,4,10
601,602,0.1111111111111111,2,10
602,603,0.42857142857142855,6,10
603,604,0.25,4,10
604,605,0.25,4,10
605,606,0.3333333333333333,5,10
606,607,0.25,4,10
607,608,0.25,4,10
608,609,0.42857142857142855,6,10
609,610,0.6666666666666666,8,10
610,611,0.3333333333333333,5,10
611,612,0.42857142857142855,6,10
612,613,0.3333333333333333,5,10
613,614,0.1111111111111111,2,10
614,615,0.25,4,10
615,616,0.1111111111111111,2,10
616,617,0.42857142857142855,6,10
617,618,0.3333333333333333,5,10
618,619,0.3333333333333333,5,10
619,620,0.3333333333333333,5,10
620,621,0.25,4,10
621,622,0.1111111111111111,2,10
622,623,0.17647058823529413,3,10
623,624,0.17647058823529413,3,10
624,625,0.3333333333333333,5,10
625,626,0.1111111111111111,2,10
626,627,0.17647058823529413,3,10
627,628,0.25,4,10
628,629,0.25,4,10
629,630,0.25,4,10
630,631,0.3333333333333333,5,10
631,632,0.25,4,10
632,633,0.25,4,10
633,634,0.42857142857142855,6,10
634,635,0.3333333333333333,5,10
635,636,0.25,4,10
636,637,0.42857142857142855,6,10
637,638,0.17647058823529413,3,10
638,639,0.1111111111111111,2,10
639,640,0.3333333333333333,5,10
640,641,0.5384615384615384,7,10
641,642,0.17647058823529413,3,10
642,643,0.25,4,10
643,644,0.3333333333333333,5,10
644,645,0.3333333333333333,5,10
645,646,0.42857142857142855,6,10
646,647,0.5384615384615384,7,10
647,648,0.3333333333333333,5,10
648,649,0.3333333333333333,5,10
649,650,0.3333333333333333,5,10
650,651,0.25,4,10
651,652,0.3333333333333333,5,10
652,653,0.3333333333333333,5,10
653,654,0.3333333333333333,5,10
654,655,0.25,4,10
655,656,0.17647058823529413,3,10
656,657,0.3333333333333333,5,10
657,658,0.17647058823529413,3,10
658,659,0.17647058823529413,3,10
659,660,0.05263157894736842,1,10
660,661,0.1111111111111111,2,10
661,662,0.05263157894736842,1,10
662,663,0.05263157894736842,1,10
663,664,0.25,4,10
664,665,0.3333333333333333,5,10
665,666,0.1111111111111111,2,10
666,667,0.17647058823529413,3,10
667,668,0.0,0,10
668,669,0.25,4,10
669,670,0.05263157894736842,1,10
670,671,0.1111111111111111,2,10
671,672,0.42857142857142855,6,10
672,673,0.25,4,10
673,674,0.25,4,10
674,675,0.17647058823529413,3,10
