codigo_bairro,inicio_indice,fim_indice,inicio_ano,inicio_semana,duracao_semanas,casos_totais_episodio,casos_pico,ja_ativo_no_inicio_da_janela,codigo_rpa,nome_bairro,posicao_modelo,lead_modelo,detectado_modelo_k5,detectado_modelo_k10,detectado_modelo_k15,detectado_modelo_k20,posicao_casos_atuais,lead_casos_atuais,detectado_casos_atuais_k5,detectado_casos_atuais_k10,detectado_casos_atuais_k15,detectado_casos_atuais_k20,posicao_crescimento_recente,lead_crescimento_recente,detectado_crescimento_recente_k5,detectado_crescimento_recente_k10,detectado_crescimento_recente_k15,detectado_crescimento_recente_k20,posicao_razao_historica_local,lead_razao_historica_local,detectado_razao_historica_local_k5,detectado_razao_historica_local_k10,detectado_razao_historica_local_k15,detectado_razao_historica_local_k20
108,571,571,2023,50,1,3.0,3.0,False,1,SANTO AMARO,16.0,1,0,0,0,1,2.0,2,1,1,1,1,4.0,2,1,1,1,1,4.0,2,1,1,1,1
108,581,589,2024,8,9,111.0,18.0,False,1,SANTO AMARO,11.0,4,0,0,1,1,4.0,2,1,1,1,1,8.0,2,0,1,1,1,9.0,4,0,1,1,1
108,591,591,2024,18,1,9.0,9.0,True,1,SANTO AMARO,41.0,1,0,0,0,0,9.0,4,0,1,1,1,39.0,4,0,0,0,0,11.0,1,0,0,1,1
108,597,597,2024,24,1,9.0,9.0,False,1,SANTO AMARO,44.0,2,0,0,0,0,11.0,2,0,0,1,1,24.0,2,0,0,0,0,31.0,2,0,0,0,0
108,603,603,2024,30,1,9.0,9.0,False,1,SANTO AMARO,11.0,2,0,0,1,1,9.0,2,0,1,1,1,21.0,3,0,0,0,0,18.0,2,0,0,0,1
108,657,657,2025,32,1,13.0,13.0,False,1,SANTO AMARO,22.0,4,0,0,0,0,13.0,2,0,0,1,1,33.0,3,0,0,0,0,36.0,3,0,0,0,0
108,667,667,2025,42,1,11.0,11.0,False,1,SANTO AMARO,33.0,3,0,0,0,0,7.0,3,0,1,1,1,7.0,1,0,1,1,1,30.0,1,0,0,0,0
108,670,672,2025,45,3,24.0,9.0,False,1,SANTO AMARO,21.0,2,0,0,0,0,6.0,3,0,1,1,1,7.0,4,0,1,1,1,23.0,3,0,0,0,0
108,675,676,2025,50,2,11.0,7.0,True,1,SANTO AMARO,12.0,2,0,0,1,1,2.0,3,1,1,1,1,32.0,3,0,0,0,0,3.0,4,1,1,1,1
116,555,555,2023,34,1,1.0,1.0,False,1,SOLEDADE,48.0,4,0,0,0,0,29.0,4,0,0,0,0,16.0,4,0,0,0,1,29.0,4,0,0,0,0
116,576,576,2024,3,1,1.0,1.0,False,1,SOLEDADE,8.0,3,0,1,1,1,27.0,2,0,0,0,0,17.0,3,0,0,0,1,27.0,2,0,0,0,0
116,581,581,2024,8,1,2.0,2.0,False,1,SOLEDADE,22.0,1,0,0,0,0,37.0,4,0,0,0,0,25.0,3,0,0,0,0,37.0,4,0,0,0,0
116,587,587,2024,14,1,1.0,1.0,False,1,SOLEDADE,29.0,4,0,0,0,0,71.0,1,0,0,0,0,20.0,1,0,0,0,1,71.0,1,0,0,0,0
116,597,597,2024,24,1,1.0,1.0,False,1,SOLEDADE,53.0,4,0,0,0,0,54.0,2,0,0,0,0,26.0,2,0,0,0,0,54.0,2,0,0,0,0
116,602,602,2024,29,1,1.0,1.0,False,1,SOLEDADE,69.0,4,0,0,0,0,54.0,3,0,0,0,0,27.0,3,0,0,0,0,54.0,3,0,0,0,0
116,607,607,2024,34,1,1.0,1.0,False,1,SOLEDADE,35.0,4,0,0,0,0,43.0,2,0,0,0,0,24.0,3,0,0,0,0,43.0,2,0,0,0,0
116,613,613,2024,40,1,1.0,1.0,False,1,SOLEDADE,32.0,4,0,0,0,0,39.0,2,0,0,0,0,18.0,3,0,0,0,1,39.0,2,0,0,0,0
116,620,620,2024,47,1,1.0,1.0,False,1,SOLEDADE,18.0,3,0,0,0,1,39.0,4,0,0,0,0,15.0,1,0,0,1,1,39.0,4,0,0,0,0
116,624,624,2024,51,1,1.0,1.0,True,1,SOLEDADE,12.0,3,0,0,1,1,25.0,4,0,0,0,0,11.0,4,0,0,1,1,2.0,4,1,1,1,1
116,649,650,2025,24,2,5.0,3.0,False,1,SOLEDADE,28.0,4,0,0,0,0,46.0,4,0,0,0,0,16.0,4,0,0,0,1,46.0,4,0,0,0,0
116,653,653,2025,28,1,1.0,1.0,True,1,SOLEDADE,10.0,2,0,1,1,1,18.0,3,0,0,0,1,3.0,4,1,1,1,1,1.0,4,1,1,1,1
116,655,655,2025,30,1,1.0,1.0,False,1,SOLEDADE,10.0,4,0,1,1,1,34.0,3,0,0,0,0,12.0,3,0,0,1,1,11.0,2,0,0,1,1
116,660,660,2025,35,1,1.0,1.0,False,1,SOLEDADE,10.0,4,0,1,1,1,62.0,4,0,0,0,0,29.0,1,0,0,0,0,62.0,4,0,0,0,0
116,664,664,2025,39,1,1.0,1.0,True,1,SOLEDADE,63.0,4,0,0,0,0,58.0,4,0,0,0,0,10.0,4,0,1,1,1,23.0,4,0,0,0,0
116,675,675,2025,50,1,1.0,1.0,False,1,SOLEDADE,47.0,4,0,0,0,0,51.0,4,0,0,0,0,25.0,1,0,0,0,0,51.0,4,0,0,0,0
124,561,561,2023,40,1,2.0,2.0,False,3,ESPINHEIRO,27.0,2,0,0,0,0,15.0,4,0,0,1,1,6.0,2,0,1,1,1,7.0,4,0,1,1,1
124,563,563,2023,42,1,2.0,2.0,False,3,ESPINHEIRO,5.0,1,1,1,1,1,6.0,2,0,1,1,1,3.0,2,1,1,1,1,1.0,2,1,1,1,1
124,584,584,2024,11,1,6.0,6.0,False,3,ESPINHEIRO,10.0,3,0,1,1,1,45.0,1,0,0,0,0,26.0,3,0,0,0,0,23.0,1,0,0,0,0
124,588,588,2024,15,1,3.0,3.0,True,3,ESPINHEIRO,4.0,1,1,1,1,1,34.0,2,0,0,0,0,21.0,2,0,0,0,0,10.0,4,0,1,1,1
124,591,591,2024,18,1,3.0,3.0,False,3,ESPINHEIRO,4.0,4,1,1,1,1,43.0,3,0,0,0,0,16.0,3,0,0,0,1,34.0,3,0,0,0,0
124,595,595,2024,22,1,4.0,4.0,True,3,ESPINHEIRO,4.0,1,1,1,1,1,27.0,4,0,0,0,0,5.0,4,1,1,1,1,5.0,4,1,1,1,1
124,602,602,2024,29,1,2.0,2.0,False,3,ESPINHEIRO,13.0,4,0,0,1,1,44.0,4,0,0,0,0,28.0,2,0,0,0,0,37.0,4,0,0,0,0
124,609,609,2024,36,1,2.0,2.0,False,3,ESPINHEIRO,38.0,4,0,0,0,0,23.0,4,0,0,0,0,6.0,4,0,1,1,1,14.0,4,0,0,1,1
124,617,617,2024,44,1,3.0,3.0,False,3,ESPINHEIRO,45.0,1,0,0,0,0,40.0,1,0,0,0,0,27.0,1,0,0,0,0,40.0,1,0,0,0,0
124,649,649,2025,24,1,3.0,3.0,False,3,ESPINHEIRO,27.0,2,0,0,0,0,7.0,2,0,1,1,1,2.0,4,1,1,1,1,3.0,2,1,1,1,1
124,661,663,2025,36,3,6.0,2.0,False,3,ESPINHEIRO,11.0,4,0,0,1,1,49.0,4,0,0,0,0,11.0,1,0,0,1,1,40.0,4,0,0,0,0
124,667,667,2025,42,1,2.0,2.0,True,3,ESPINHEIRO,29.0,1,0,0,0,0,32.0,4,0,0,0,0,4.0,2,1,1,1,1,23.0,4,0,0,0,0
124,672,672,2025,47,1,2.0,2.0,False,3,ESPINHEIRO,5.0,2,1,1,1,1,39.0,2,0,0,0,0,28.0,2,0,0,0,0,35.0,4,0,0,0,0
132,549,549,2023,28,1,1.0,1.0,False,3,AFLITOS,25.0,4,0,0,0,0,29.0,4,0,0,0,0,21.0,2,0,0,0,0,29.0,4,0,0,0,0
132,571,571,2023,50,1,1.0,1.0,False,3,AFLITOS,15.0,3,0,0,1,1,31.0,4,0,0,0,0,16.0,2,0,0,0,1,31.0,4,0,0,0,0
