codigo_bairro,n_episodios_v1,n_episodios_v2
108,9,11
116,16,23
124,13,16
132,6,18
140,13,18
159,10,11
167,14,18
175,6,5
183,9,8
19,7,16
191,5,12
205,14,13
213,6,9
221,9,9
230,6,7
248,11,11
256,14,17
264,9,9
27,22,22
272,9,9
280,5,5
299,9,19
302,10,18
310,9,9
329,9,10
337,5,3
345,8,12
35,9,9
353,8,12
361,7,21
370,9,17
388,5,6
396,10,10
400,15,15
418,11,7
426,10,11
43,14,15
434,7,7
442,4,15
450,9,13
469,14,24
477,8,10
485,12,13
493,11,11
507,10,22
51,10,10
515,6,0
523,9,13
531,9,13
540,9,11
558,6,7
566,11,11
574,12,23
582,14,14
590,9,8
60,2,4
604,14,17
612,12,18
620,4,12
647,3,2
655,7,7
663,4,7
671,9,20
680,5,10
698,7,7
701,9,9
710,7,8
728,7,7
736,12,14
744,18,17
752,21,22
760,9,14
779,11,12
78,11,16
787,8,10
795,6,9
809,10,17
817,12,13
825,14,13
833,7,9
841,15,25
850,10,12
86,14,17
868,12,15
876,14,19
884,5,3
892,17,16
906,18,18
914,7,15
922,15,18
930,3,3
94,15,16
949,15,24
