codigo_bairro,inicio_indice,fim_indice,inicio_ano,inicio_semana,duracao_semanas,casos_totais_episodio,casos_pico,ja_ativo_no_inicio_da_janela,codigo_rpa,nome_bairro,posicao_v1_features,lead_v1_features,detectado_v1_features_k5,detectado_v1_features_k10,detectado_v1_features_k15,detectado_v1_features_k20,posicao_v1_mais_populacao,lead_v1_mais_populacao,detectado_v1_mais_populacao_k5,detectado_v1_mais_populacao_k10,detectado_v1_mais_populacao_k15,detectado_v1_mais_populacao_k20,posicao_v2_incidencia,lead_v2_incidencia,detectado_v2_incidencia_k5,detectado_v2_incidencia_k10,detectado_v2_incidencia_k15,detectado_v2_incidencia_k20,posicao_v2_casos_incidencia,lead_v2_casos_incidencia,detectado_v2_casos_incidencia_k5,detectado_v2_casos_incidencia_k10,detectado_v2_casos_incidencia_k15,detectado_v2_casos_incidencia_k20,posicao_v2_casos_incidencia_populacao,lead_v2_casos_incidencia_populacao,detectado_v2_casos_incidencia_populacao_k5,detectado_v2_casos_incidencia_populacao_k10,detectado_v2_casos_incidencia_populacao_k15,detectado_v2_casos_incidencia_populacao_k20,posicao_casos_atuais,lead_casos_atuais,detectado_casos_atuais_k5,detectado_casos_atuais_k10,detectado_casos_atuais_k15,detectado_casos_atuais_k20,posicao_crescimento_recente,lead_crescimento_recente,detectado_crescimento_recente_k5,detectado_crescimento_recente_k10,detectado_crescimento_recente_k15,detectado_crescimento_recente_k20,posicao_razao_historica_local,lead_razao_historica_local,detectado_razao_historica_local_k5,detectado_razao_historica_local_k10,detectado_razao_historica_local_k15,detectado_razao_historica_local_k20,posicao_incidencia_atual,lead_incidencia_atual,detectado_incidencia_atual_k5,detectado_incidencia_atual_k10,detectado_incidencia_atual_k15,detectado_incidencia_atual_k20,posicao_crescimento_incidencia,lead_crescimento_incidencia,detectado_crescimento_incidencia_k5,detectado_crescimento_incidencia_k10,detectado_crescimento_incidencia_k15,detectado_crescimento_incidencia_k20,posicao_razao_historica_incidencia,lead_razao_historica_incidencia,detectado_razao_historica_incidencia_k5,detectado_razao_historica_incidencia_k10,detectado_razao_historica_incidencia_k15,detectado_razao_historica_incidencia_k20
108,534,534,2023,13,1,8.0,8.0,False,1,SANTO AMARO,45.0,1.0,0,0,0,0,44.0,1.0,0,0,0,0,75.0,2.0,0,0,0,0,60.0,1.0,0,0,0,0,57.0,1.0,0,0,0,0,9.0,3.0,0,1,1,1,9.0,1.0,0,1,1,1,13.0,3.0,0,0,1,1,25.0,3.0,0,0,0,0,18.0,3.0,0,0,0,1,13.0,3.0,0,0,1,1
108,571,571,2023,50,1,3.0,3.0,False,1,SANTO AMARO,9.0,1.0,0,1,1,1,12.0,1.0,0,0,1,1,10.0,1.0,0,1,1,1,20.0,1.0,0,0,0,1,12.0,1.0,0,0,1,1,2.0,2.0,1,1,1,1,4.0,2.0,1,1,1,1,4.0,2.0,1,1,1,1,7.0,2.0,0,1,1,1,5.0,2.0,1,1,1,1,6.0,2.0,0,1,1,1
108,573,573,2023,52,1,2.0,2.0,False,1,SANTO AMARO,4.0,1.0,1,1,1,1,4.0,1.0,1,1,1,1,5.0,1.0,1,1,1,1,4.0,1.0,1,1,1,1,5.0,1.0,1,1,1,1,2.0,4.0,1,1,1,1,4.0,4.0,1,1,1,1,4.0,4.0,1,1,1,1,7.0,4.0,0,1,1,1,5.0,4.0,1,1,1,1,5.0,2.0,1,1,1,1
108,581,591,2024,8,11,128.0,18.0,False,1,SANTO AMARO,22.0,4.0,0,0,0,0,14.0,4.0,0,0,1,1,19.0,4.0,0,0,0,1,13.0,4.0,0,0,1,1,10.0,4.0,0,1,1,1,4.0,2.0,1,1,1,1,8.0,2.0,0,1,1,1,9.0,4.0,0,1,1,1,8.0,2.0,0,1,1,1,13.0,2.0,0,0,1,1,9.0,4.0,0,1,1,1
108,597,597,2024,24,1,9.0,9.0,False,1,SANTO AMARO,44.0,4.0,0,0,0,0,25.0,4.0,0,0,0,0,39.0,4.0,0,0,0,0,14.0,4.0,0,0,1,1,16.0,4.0,0,0,0,1,11.0,2.0,0,0,1,1,24.0,2.0,0,0,0,0,31.0,2.0,0,0,0,0,28.0,2.0,0,0,0,0,24.0,2.0,0,0,0,0,33.0,2.0,0,0,0,0
108,603,603,2024,30,1,9.0,9.0,False,1,SANTO AMARO,8.0,2.0,0,1,1,1,9.0,2.0,0,1,1,1,33.0,4.0,0,0,0,0,6.0,2.0,0,1,1,1,14.0,2.0,0,0,1,1,9.0,2.0,0,1,1,1,21.0,3.0,0,0,0,0,18.0,2.0,0,0,0,1,25.0,2.0,0,0,0,0,23.0,3.0,0,0,0,0,30.0,2.0,0,0,0,0
108,649,649,2025,24,1,9.0,9.0,False,1,SANTO AMARO,56.0,4.0,0,0,0,0,63.0,4.0,0,0,0,0,60.0,4.0,0,0,0,0,56.0,4.0,0,0,0,0,59.0,4.0,0,0,0,0,4.0,4.0,1,1,1,1,1.0,4.0,1,1,1,1,1.0,4.0,1,1,1,1,2.0,4.0,1,1,1,1,1.0,4.0,1,1,1,1,5.0,4.0,1,1,1,1
108,657,658,2025,32,2,23.0,13.0,False,1,SANTO AMARO,16.0,4.0,0,0,0,1,14.0,4.0,0,0,1,1,25.0,2.0,0,0,0,0,10.0,2.0,0,1,1,1,17.0,4.0,0,0,0,1,13.0,2.0,0,0,1,1,33.0,3.0,0,0,0,0,36.0,3.0,0,0,0,0,35.0,3.0,0,0,0,0,34.0,3.0,0,0,0,0,40.0,3.0,0,0,0,0
108,667,667,2025,42,1,11.0,11.0,False,1,SANTO AMARO,31.0,4.0,0,0,0,0,22.0,4.0,0,0,0,0,44.0,4.0,0,0,0,0,29.0,4.0,0,0,0,0,23.0,4.0,0,0,0,0,7.0,3.0,0,1,1,1,7.0,1.0,0,1,1,1,30.0,1.0,0,0,0,0,13.0,1.0,0,0,1,1,8.0,1.0,0,1,1,1,41.0,1.0,0,0,0,0
108,670,673,2025,45,4,28.0,9.0,False,1,SANTO AMARO,52.0,2.0,0,0,0,0,29.0,1.0,0,0,0,0,27.0,2.0,0,0,0,0,24.0,2.0,0,0,0,0,27.0,1.0,0,0,0,0,6.0,3.0,0,1,1,1,7.0,4.0,0,1,1,1,23.0,3.0,0,0,0,0,13.0,4.0,0,0,1,1,8.0,4.0,0,1,1,1,38.0,3.0,0,0,0,0
