codigo_bairro,nome_bairro,n_episodios,recall10_v2_casos_incidencia,recall20_v2_casos_incidencia
841,CACOTE,25,0.8,0.96
469,PARNAMIRIM,24,0.16666666666666666,0.4166666666666667
949,ALTO SANTA TEREZINHA,24,0.5416666666666666,0.7916666666666666
116,SOLEDADE,23,0.43478260869565216,0.5217391304347826
574,BREJO DE BEBERIBE,23,0.6521739130434783,0.8260869565217391
27,SANTO ANTONIO,22,0.3181818181818182,0.5909090909090909
752,CURADO,22,0.7727272727272727,0.8636363636363636
507,APIPUCOS,22,0.22727272727272727,0.5454545454545454
361,PORTO DA MADEIRA,21,0.5238095238095238,0.5714285714285714
671,ZUMBI,20,0.4,0.55
299,PEIXINHOS,19,0.3157894736842105,0.47368421052631576
876,BARRO,19,0.5263157894736842,0.6842105263157895
167,GRACAS,18,0.2777777777777778,0.5555555555555556
302,HIPODROMO,18,0.2222222222222222,0.3888888888888889
140,DERBY,18,0.16666666666666666,0.5555555555555556
132,AFLITOS,18,0.1111111111111111,0.2777777777777778
922,COQUEIRAL,18,0.8333333333333334,0.9444444444444444
906,SANCHO,18,0.5,0.7222222222222222
612,BREJO DA GUABIRABA,18,0.6111111111111112,0.8333333333333334
744,CAXANGA,17,0.4117647058823529,0.7058823529411765
86,BOA VISTA,17,0.5294117647058824,0.7058823529411765
370,BEBERIBE,17,0.29411764705882354,0.47058823529411764
604,SITIO DOS PINTOS,17,0.7058823529411765,0.7058823529411765
256,BRASILIA TEIMOSA,17,0.35294117647058826,0.5294117647058824
809,BONGI,17,0.23529411764705882,0.5294117647058824
19,RECIFE,16,0.0625,0.25
94,PAISSANDU,16,0.4375,0.5
124,ESPINHEIRO,16,0.4375,0.5625
892,TEJIPIO,16,0.5,0.75
78,ILHA DO LEITE,16,0.1875,0.375
442,CASA FORTE,15,0.2,0.2
914,TOTO,15,0.4,0.8
43,ILHA JOANA BEZERRA,15,0.6,0.6666666666666666
400,PASSARINHO,15,0.6,0.8
868,JARDIM SAO PAULO,15,0.6,0.6666666666666666
736,VARZEA,14,0.21428571428571427,0.2857142857142857
582,MACAXEIRA,14,0.7142857142857143,0.8571428571428571
760,ILHA DO RETIRO,14,0.14285714285714285,0.21428571428571427
817,SAN MARTIN,13,0.46153846153846156,0.6923076923076923
825,JIQUIA,13,0.46153846153846156,0.6153846153846154
450,SANTANA,13,0.15384615384615385,0.5384615384615384
523,ALTO JOSE DO PINHO,13,0.38461538461538464,0.6923076923076923
485,MONTEIRO,13,0.23076923076923078,0.38461538461538464
531,MORRO DA CONCEICAO,13,0.46153846153846156,0.5384615384615384
205,BOA VIAGEM,13,0.07692307692307693,0.15384615384615385
191,TAMARINEIRA,12,0.25,0.5833333333333334
353,CAJUEIRO,12,0.3333333333333333,0.5833333333333334
779,AFOGADOS,12,0.5833333333333334,0.5833333333333334
850,AREIAS,12,0.5,0.6666666666666666
620,CORREGO DO JENIPAPO,12,0.16666666666666666,0.4166666666666667
345,FUNDAO,12,0.4166666666666667,0.6666666666666666
540,ALTO JOSE BONIFACIO,11,0.6363636363636364,0.7272727272727273
566,NOVA DESCOBERTA,11,0.8181818181818182,0.8181818181818182
426,BOMBA DO HEMETERIO,11,0.45454545454545453,0.6363636363636364
248,PINA,11,0.45454545454545453,0.45454545454545453
493,ALTO DO MANDU,11,0.18181818181818182,0.7272727272727273
108,SANTO AMARO,11,0.2727272727272727,0.6363636363636364
159,JAQUEIRA,11,0.09090909090909091,0.18181818181818182
396,DOIS UNIDOS,10,0.7,0.7
329,ARRUDA,10,0.5,0.6
477,POCO,10,0.0,0.0
787,MUSTARDINHA,10,0.2,0.5
680,CORDEIRO,10,0.1,0.1
51,CABANGA,10,0.2,0.2
795,MANGUEIRA,9,0.8888888888888888,0.8888888888888888
833,ESTANCIA,9,0.4444444444444444,0.4444444444444444
272,TORREAO,9,0.3333333333333333,0.3333333333333333
310,CAMPINA DO BARRETO,9,0.6666666666666666,0.8888888888888888
213,IPSEP,9,0.2222222222222222,0.4444444444444444
35,SAO JOSE,9,0.4444444444444444,0.4444444444444444
264,IMBIRIBEIRA,9,0.2222222222222222,0.5555555555555556
701,TORROES,9,0.5555555555555556,0.6666666666666666
221,JORDAO,9,0.1111111111111111,0.1111111111111111
183,ROSARINHO,8,0.125,0.25
710,ENGENHO DO MEIO,8,0.25,0.5
590,DOIS IRMAOS,8,0.375,0.5
698,IPUTINGA,7,0.7142857142857143,0.8571428571428571
663,PRADO,7,0.2857142857142857,0.42857142857142855
728,CIDADE UNIVERSITARIA,7,0.0,0.2857142857142857
230,IBURA,7,0.2857142857142857,0.2857142857142857
434,CASA AMARELA,7,0.2857142857142857,0.5714285714285714
418,GUABIRABA,7,0.8571428571428571,0.8571428571428571
558,VASCO DA GAMA,7,0.5714285714285714,0.5714285714285714
655,TORRE,7,0.2857142857142857,0.42857142857142855
388,LINHA DO TIRO,6,0.3333333333333333,0.3333333333333333
175,ENCRUZILHADA,5,0.0,0.0
280,CAMPO GRANDE,5,0.0,0.6
60,COELHOS,4,0.25,0.5
337,AGUA FRIA,3,0.0,0.0
884,COHAB,3,0.0,0.0
930,PONTO DE PARADA,3,0.0,0.0
647,MADALENA,2,0.0,0.5
