k,metodo,observado,n,n_reamostragens,ic_baixo,ic_alto
5,v1_features,0.24216765453005928,1181,2000,0.21843776460626588,0.26587637595258257
5,v1_mais_populacao,0.24216765453005928,1181,2000,0.21761219305673157,0.2650508044030481
5,v2_incidencia,0.2497883149872989,1181,2000,0.2252328535139712,0.2726502963590178
5,v2_casos_incidencia,0.2514817950889077,1181,2000,0.2277730736663844,0.2760372565622354
5,v2_casos_incidencia_populacao,0.2447078746824725,1181,2000,0.2209991532599492,0.2684377646062657
5,casos_atuais,0.09060118543607112,1181,2000,0.07366638441998306,0.10668924640135478
5,crescimento_recente,0.1676545300592718,1181,2000,0.14648602878916173,0.18882303132938189
5,razao_historica_local,0.18374259102455545,1181,2000,0.16172734970364097,0.20575783234546993
5,incidencia_atual,0.16257408975444537,1181,2000,0.14140558848433532,0.18374259102455545
5,crescimento_incidencia,0.18289585097375105,1181,2000,0.16088060965283657,0.20575783234546993
5,razao_historica_incidencia,0.1947502116850127,1181,2000,0.1718882303132938,0.21761219305673157
10,v1_features,0.3861134631668078,1181,2000,0.35817104149026247,0.41320914479254867
10,v1_mais_populacao,0.384419983065199,1181,2000,0.35645639288738357,0.4106900931414055
10,v2_incidencia,0.397121083827265,1181,2000,0.36833192209991533,0.4242167654530059
10,v2_casos_incidencia,0.3954276037256562,1181,2000,0.36663844199830653,0.42337002540220153
10,v2_casos_incidencia_populacao,0.3911939034716342,1181,2000,0.3640982218458933,0.4191363251481795
10,casos_atuais,0.1642675698560542,1181,2000,0.14307790008467403,0.18543607112616428
10,crescimento_recente,0.34123624047417445,1181,2000,0.31498729889923793,0.36833192209991533
10,razao_historica_local,0.3336155800169348,1181,2000,0.3065198983911939,0.3598645215918713
10,incidencia_atual,0.30313293818797626,1181,2000,0.2777307366638442,0.3302286198137172
10,crescimento_incidencia,0.3657917019475021,1181,2000,0.33784928027095684,0.3937341236240474
10,razao_historica_incidencia,0.3657917019475021,1181,2000,0.3386748518204911,0.3937341236240474
15,v1_features,0.489415749364945,1181,2000,0.46062658763759523,0.5165114309906859
15,v1_mais_populacao,0.49026248941574935,1181,2000,0.46147332768839966,0.5182049110922947
15,v2_incidencia,0.5182049110922947,1181,2000,0.49024132091447925,0.54616850127011
15,v2_casos_incidencia,0.48518204911092294,1181,2000,0.4572396274343776,0.514817950889077
15,v2_casos_incidencia_populacao,0.4809483488569009,1181,2000,0.4538314987298899,0.5088907705334462
15,casos_atuais,0.2472480948348857,1181,2000,0.2226714648602879,0.270956816257409
15,crescimento_recente,0.4911092294665538,1181,2000,0.462298899237934,0.5198983911939035
15,razao_historica_local,0.4521591871295512,1181,2000,0.4242167654530059,0.48010160880609654
15,incidencia_atual,0.40812870448772226,1181,2000,0.3810330228619814,0.4360711261642676
15,crescimento_incidencia,0.5080440304826418,1181,2000,0.48010160880609654,0.5368331922099915
15,razao_historica_incidencia,0.4707874682472481,1181,2000,0.4419983065198984,0.4995766299745978
20,v1_features,0.5698560541913632,1181,2000,0.5410668924640135,0.5977984758679086
20,v1_mais_populacao,0.5766299745977985,1181,2000,0.5478408128704487,0.6037256562235394
20,v2_incidencia,0.5977984758679086,1181,2000,0.5706816257408975,0.6257408975444538
20,v2_casos_incidencia,0.5622353937341237,1181,2000,0.5334462320067739,0.5901778154106689
20,v2_casos_incidencia_populacao,0.5774767146486028,1181,2000,0.5486875529212532,0.6054191363251482
20,casos_atuais,0.3293818797629128,1181,2000,0.30313293818797626,0.35480524978831485
20,crescimento_recente,0.6240474174428451,1181,2000,0.5960838272650296,0.6519898391193903
20,razao_historica_local,0.5453005927180355,1181,2000,0.5165114309906859,0.5732430143945809
20,incidencia_atual,0.5173581710414903,1181,2000,0.48856900931414055,0.54614733276884
20,crescimento_incidencia,0.632514817950889,1181,2000,0.6045723962743438,0.6604572396274344
20,razao_historica_incidencia,0.5605419136325148,1181,2000,0.5309060118543607,0.5884843353090601
