replica,n_episodios,recall5,prevalencia
0,1139,0.257243195785777,0.1759331990027663
1,1155,0.2502164502164502,0.1737474813018681
2,1124,0.25444839857651247,0.1751989344626208
3,1136,0.2649647887323944,0.17384993681909772
4,1190,0.25126050420168067,0.17834090365766198
5,1175,0.24340425531914894,0.17576243980738362
6,1162,0.2469879518072289,0.17518185854308255
7,1178,0.22920203735144312,0.17719681704859808
8,1172,0.2525597269624573,0.1758307434855367
9,1167,0.2519280205655527,0.17651378026706738
10,1179,0.2527565733672604,0.1777944742324374
11,1208,0.24668874172185432,0.18057784911717495
12,1164,0.24828178694158076,0.17688945049690927
13,1150,0.2530434782608696,0.17617226187630203
14,1144,0.24475524475524477,0.17425975888801612
15,1183,0.24767540152155537,0.17470373279601106
16,1184,0.24324324324324326,0.1782725999795089
17,1147,0.2737576285963383,0.17714558928998325
18,1186,0.24704890387858347,0.17835797957720023
19,1172,0.2431740614334471,0.17714558928998325
