codigo_bairro,episodios_reais,episodios_detectados,lead_time_mediano_semanas,episodios_perdidos,falsos_alertas
108,9,3,-1.0,6,3
116,16,3,4.0,13,1
124,13,6,3.0,7,2
132,6,0,,6,0
140,13,2,3.5,11,1
159,10,0,,10,2
167,14,4,2.5,10,5
175,6,0,,6,2
183,9,5,2.0,4,1
19,7,0,,7,0
191,5,1,4.0,4,3
205,14,5,-1.0,9,5
213,6,0,,6,2
221,9,2,3.0,7,5
230,6,3,1.0,3,3
248,11,8,3.5,3,6
256,14,6,3.5,8,5
264,9,4,3.0,5,4
27,22,6,2.5,16,3
272,9,2,4.0,7,1
280,5,3,1.0,2,3
299,9,3,4.0,6,4
302,10,1,-2.0,9,4
310,9,6,3.5,3,4
329,9,4,4.0,5,1
337,5,3,4.0,2,0
345,8,2,1.0,6,3
35,9,0,,9,3
353,8,5,4.0,3,0
361,7,5,4.0,2,1
370,9,6,4.0,3,8
388,5,2,2.0,3,2
396,10,7,4.0,3,1
400,15,8,2.5,7,14
418,11,5,3.0,6,4
426,10,6,4.0,4,1
43,14,10,4.0,4,7
434,7,4,2.5,3,2
442,4,0,,4,3
450,9,0,,9,2
469,14,2,2.0,12,3
477,8,1,-1.0,7,2
485,12,1,2.0,11,5
493,11,5,3.0,6,2
507,10,2,2.0,8,2
51,10,0,,10,1
515,6,2,1.5,4,2
523,9,6,3.5,3,4
531,9,6,4.0,3,2
540,9,6,2.0,3,5
558,6,4,1.5,2,3
566,11,3,1.0,8,6
574,12,3,2.0,9,11
582,14,12,3.0,2,7
590,9,2,1.0,7,1
60,2,1,-1.0,1,2
604,14,8,3.0,6,4
612,12,5,2.0,7,7
620,4,1,1.0,3,1
647,3,2,0.0,1,4
655,7,4,3.0,3,5
663,4,1,1.0,3,0
671,9,3,2.0,6,4
680,5,1,2.0,4,4
698,7,5,3.0,2,3
701,9,6,3.0,3,6
710,7,2,1.5,5,6
728,7,2,1.5,5,2
736,12,6,1.0,6,4
744,18,9,3.0,9,9
752,21,9,3.0,12,2
760,9,2,1.0,7,1
779,11,8,3.0,3,3
78,11,0,,11,0
787,8,0,,8,6
795,6,2,2.0,4,3
809,10,3,2.0,7,6
817,12,6,1.0,6,6
825,14,4,2.0,10,5
833,7,3,3.0,4,2
841,15,6,1.5,9,7
850,10,4,3.0,6,4
86,14,5,4.0,9,6
868,12,7,2.0,5,7
876,14,11,4.0,3,2
884,5,4,2.5,1,1
892,17,9,4.0,8,3
906,18,7,3.0,11,1
914,7,3,-1.0,4,5
922,15,6,4.0,9,4
930,3,0,,3,0
94,15,3,1.0,12,3
949,15,9,3.0,6,4
