codigo_bairro,episodios_reais,episodios_detectados,lead_time_mediano_semanas,episodios_perdidos,falsos_alertas
108,9,4,1.5,5,4
116,16,5,3.0,11,1
124,13,7,4.0,6,8
132,6,0,,6,1
140,13,2,3.5,11,3
159,10,0,,10,1
167,14,5,4.0,9,9
175,6,1,1.0,5,1
183,9,4,3.0,5,1
19,7,1,3.0,6,2
191,5,2,2.5,3,4
205,14,7,1.0,7,4
213,6,0,,6,5
221,9,2,3.0,7,5
230,6,3,1.0,3,3
248,11,8,3.5,3,8
256,14,5,2.0,9,8
264,9,5,4.0,4,6
27,22,9,3.0,13,4
272,9,0,,9,1
280,5,3,1.0,2,8
299,9,3,4.0,6,6
302,10,1,1.0,9,3
310,9,6,4.0,3,5
329,9,5,4.0,4,2
337,5,4,4.0,1,2
345,8,2,1.5,6,6
35,9,2,3.0,7,5
353,8,5,4.0,3,0
361,7,5,4.0,2,3
370,9,5,4.0,4,13
388,5,2,2.0,3,3
396,10,7,4.0,3,1
400,15,7,2.0,8,13
418,11,7,3.0,4,9
426,10,6,4.0,4,2
43,14,10,3.0,4,6
434,7,4,3.0,3,7
442,4,2,1.0,2,3
450,9,0,,9,3
469,14,5,2.0,9,5
477,8,4,-1.0,4,2
485,12,2,1.5,10,7
493,11,7,4.0,4,3
507,10,5,2.0,5,7
51,10,1,2.0,9,3
515,6,2,1.5,4,4
523,9,7,4.0,2,7
531,9,6,4.0,3,5
540,9,6,3.0,3,8
558,6,5,3.0,1,6
566,11,7,1.0,4,7
574,12,5,1.0,7,14
582,14,12,4.0,2,10
590,9,4,3.5,5,3
60,2,1,1.0,1,3
604,14,8,4.0,6,6
612,12,7,3.0,5,11
620,4,2,0.5,2,2
647,3,1,1.0,2,5
655,7,4,3.0,3,8
663,4,1,1.0,3,0
671,9,2,2.5,7,4
680,5,1,2.0,4,4
698,7,5,4.0,2,8
701,9,6,3.0,3,8
710,7,2,1.5,5,10
728,7,2,1.5,5,4
736,12,6,2.5,6,6
744,18,11,3.0,7,11
752,21,12,3.0,9,5
760,9,1,-1.0,8,1
779,11,6,3.0,5,4
78,11,0,,11,2
787,8,1,2.0,7,6
795,6,3,3.0,3,7
809,10,3,2.0,7,9
817,12,7,1.0,5,17
825,14,7,3.0,7,7
833,7,3,3.0,4,1
841,15,8,1.5,7,14
850,10,4,3.5,6,7
86,14,6,4.0,8,5
868,12,11,2.0,1,12
876,14,12,4.0,2,4
884,5,3,3.0,2,2
892,17,10,3.5,7,8
906,18,10,3.5,8,5
914,7,3,-1.0,4,11
922,15,7,4.0,8,9
930,3,0,,3,2
94,15,4,1.5,11,4
949,15,8,3.5,7,4
