codigo_bairro,nome_bairro,codigo_rpa,n_episodios,n_detectados_top20,posicao_mediana_antes,lead_time_mediano,taxa_top20
108,SANTO AMARO,1,9,4,21.0,2.0,0.4444444444444444
116,SOLEDADE,1,16,6,28.5,4.0,0.375
124,ESPINHEIRO,3,13,8,11.0,2.0,0.6153846153846154
132,AFLITOS,3,6,1,26.0,3.0,0.16666666666666666
140,DERBY,3,13,6,22.0,2.0,0.46153846153846156
159,JAQUEIRA,3,10,2,45.0,4.0,0.2
167,GRACAS,3,14,7,22.5,3.0,0.5
175,ENCRUZILHADA,2,6,1,36.0,1.5,0.16666666666666666
183,ROSARINHO,2,9,5,18.0,2.0,0.5555555555555556
19,RECIFE,1,7,2,35.0,4.0,0.2857142857142857
191,TAMARINEIRA,3,5,2,25.0,4.0,0.4
205,BOA VIAGEM,6,14,5,41.0,2.0,0.35714285714285715
213,IPSEP,6,6,1,39.0,3.0,0.16666666666666666
221,JORDAO,6,9,1,67.0,1.0,0.1111111111111111
230,IBURA,6,6,1,60.5,2.0,0.16666666666666666
248,PINA,6,11,5,22.0,1.0,0.45454545454545453
256,BRASILIA TEIMOSA,6,14,6,27.0,2.0,0.42857142857142855
264,IMBIRIBEIRA,6,9,5,18.0,1.0,0.5555555555555556
27,SANTO ANTONIO,1,22,11,18.5,3.0,0.5
272,TORREAO,2,9,3,39.0,2.0,0.3333333333333333
280,CAMPO GRANDE,2,5,4,16.0,2.0,0.8
299,PEIXINHOS,2,9,7,16.0,3.0,0.7777777777777778
302,HIPODROMO,2,10,1,35.0,2.0,0.1
310,CAMPINA DO BARRETO,2,9,6,9.0,1.0,0.6666666666666666
329,ARRUDA,2,9,7,11.0,1.0,0.7777777777777778
337,AGUA FRIA,2,5,4,18.0,2.0,0.8
345,FUNDAO,2,8,5,18.0,2.5,0.625
35,SAO JOSE,1,9,6,20.0,2.0,0.6666666666666666
353,CAJUEIRO,2,8,6,17.0,3.0,0.75
361,PORTO DA MADEIRA,2,7,7,7.0,2.0,1.0
370,BEBERIBE,2,9,5,13.0,2.0,0.5555555555555556
388,LINHA DO TIRO,2,5,2,30.0,3.0,0.4
396,DOIS UNIDOS,2,10,8,9.0,3.0,0.8
400,PASSARINHO,3,15,12,8.0,2.0,0.8
418,GUABIRABA,3,11,6,15.0,2.0,0.5454545454545454
426,BOMBA DO HEMETERIO,2,10,8,12.0,2.0,0.8
43,ILHA JOANA BEZERRA,1,14,10,3.5,3.0,0.7142857142857143
434,CASA AMARELA,3,7,2,27.0,1.0,0.2857142857142857
442,CASA FORTE,3,4,3,18.5,3.0,0.75
450,SANTANA,3,9,3,52.0,3.0,0.3333333333333333
469,PARNAMIRIM,3,14,4,37.0,3.0,0.2857142857142857
477,POCO,3,8,0,44.5,3.5,0.0
485,MONTEIRO,3,12,5,36.0,2.0,0.4166666666666667
493,ALTO DO MANDU,3,11,8,11.0,2.0,0.7272727272727273
507,APIPUCOS,3,10,6,17.0,2.5,0.6
51,CABANGA,1,10,4,35.5,3.0,0.4
515,MANGABEIRA,3,6,3,27.0,3.5,0.5
523,ALTO JOSE DO PINHO,3,9,7,2.0,1.0,0.7777777777777778
531,MORRO DA CONCEICAO,3,9,5,14.0,2.0,0.5555555555555556
540,ALTO JOSE BONIFACIO,3,9,6,6.0,2.0,0.6666666666666666
558,VASCO DA GAMA,3,6,4,16.5,1.0,0.6666666666666666
566,NOVA DESCOBERTA,3,11,6,19.0,3.0,0.5454545454545454
574,BREJO DE BEBERIBE,3,12,9,9.0,3.0,0.75
582,MACAXEIRA,3,14,11,13.0,1.0,0.7857142857142857
590,DOIS IRMAOS,3,9,2,36.0,3.0,0.2222222222222222
60,COELHOS,1,2,1,37.0,2.5,0.5
604,SITIO DOS PINTOS,3,14,10,3.0,2.0,0.7142857142857143
612,BREJO DA GUABIRABA,3,12,10,12.5,2.0,0.8333333333333334
620,CORREGO DO JENIPAPO,3,4,1,39.0,2.5,0.25
647,MADALENA,4,3,1,26.0,1.0,0.3333333333333333
655,TORRE,4,7,5,16.0,2.0,0.7142857142857143
663,PRADO,4,4,3,8.5,1.0,0.75
671,ZUMBI,4,9,4,21.0,2.0,0.4444444444444444
680,CORDEIRO,4,5,2,22.0,2.0,0.4
698,IPUTINGA,4,7,7,4.0,3.0,1.0
701,TORROES,4,9,7,5.0,4.0,0.7777777777777778
710,ENGENHO DO MEIO,4,7,3,31.0,3.0,0.42857142857142855
728,CIDADE UNIVERSITARIA,4,7,1,47.0,2.0,0.14285714285714285
736,VARZEA,4,12,3,72.5,2.5,0.25
744,CAXANGA,4,18,15,10.0,3.0,0.8333333333333334
752,CURADO,5,21,18,4.0,2.0,0.8571428571428571
