codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
108,571,2023,21.0,1,20.0
108,581,2024,28.0,1,18.0
108,591,2024,12.0,3,34.0
108,597,2024,8.0,3,72.0
108,603,2024,22.0,4,87.0
108,657,2025,42.0,4,72.0
108,667,2025,56.0,4,83.0
108,670,2025,46.0,2,24.0
108,675,2025,4.0,1,13.0
116,555,2023,28.0,2,47.0
116,576,2024,31.0,4,20.0
116,581,2024,1.0,4,34.0
116,587,2024,27.0,4,73.0
116,597,2024,32.0,3,54.0
116,602,2024,32.0,4,74.0
116,607,2024,20.0,3,58.0
116,613,2024,24.0,4,53.0
116,620,2024,32.0,3,44.0
116,624,2024,10.0,3,38.0
116,649,2025,27.0,3,41.0
116,653,2025,3.0,3,20.0
116,655,2025,3.0,3,10.0
116,660,2025,15.0,3,63.0
116,664,2025,51.0,3,86.0
116,675,2025,68.0,3,80.0
124,561,2023,17.0,2,36.0
124,563,2023,9.0,1,5.0
124,584,2024,5.0,4,42.0
124,588,2024,9.0,3,19.0
124,591,2024,13.0,4,43.0
124,595,2024,11.0,1,14.0
124,602,2024,9.0,4,56.0
124,609,2024,35.0,4,65.0
124,617,2024,57.0,3,29.0
124,649,2025,38.0,1,44.0
124,661,2025,28.0,4,71.0
124,667,2025,34.0,4,48.0
124,672,2025,24.0,3,21.0
132,549,2023,26.0,4,41.0
132,571,2023,15.0,3,28.0
132,597,2024,32.0,1,31.0
132,601,2024,20.0,3,27.0
132,621,2024,68.0,1,36.0
132,664,2025,84.0,4,89.0
140,560,2023,50.0,1,49.0
140,563,2023,11.0,2,24.0
140,575,2024,26.0,4,23.0
140,583,2024,16.0,2,38.0
140,588,2024,10.0,4,75.0
140,597,2024,59.0,2,65.0
140,609,2024,36.0,4,80.0
140,611,2024,28.0,1,29.0
140,613,2024,7.0,1,51.0
140,622,2024,30.0,4,65.0
140,644,2025,32.0,2,35.0
140,667,2025,86.0,4,87.0
140,672,2025,12.0,3,42.0
159,585,2024,19.0,4,78.0
159,598,2024,61.0,3,75.0
159,620,2024,56.0,3,66.0
159,637,2025,19.0,1,20.0
159,648,2025,15.0,4,51.0
159,652,2025,6.0,3,56.0
159,657,2025,10.0,4,82.0
159,661,2025,48.0,3,85.0
159,664,2025,65.0,1,75.0
159,671,2025,65.0,4,76.0
167,549,2023,13.0,1,15.0
167,554,2023,5.0,4,35.0
167,574,2024,8.0,2,11.0
167,579,2024,1.0,4,18.0
167,585,2024,3.0,4,80.0
167,594,2024,5.0,1,23.0
167,600,2024,14.0,3,20.0
167,608,2024,14.0,1,30.0
167,618,2024,31.0,2,23.0
167,625,2024,14.0,4,41.0
167,629,2025,13.0,3,20.0
167,659,2025,25.0,4,65.0
167,661,2025,42.0,1,53.0
167,668,2025,31.0,4,54.0
175,588,2024,47.0,1,48.0
175,607,2024,13.0,1,20.0
175,624,2024,51.0,3,47.0
175,657,2025,38.0,2,56.0
175,665,2025,41.0,1,65.0
175,675,2025,56.0,2,83.0
183,591,2024,54.0,2,55.0
183,594,2024,14.0,2,17.0
183,620,2024,50.0,3,61.0
183,623,2024,5.0,2,32.0
183,662,2025,62.0,4,81.0
183,664,2025,59.0,1,85.0
183,668,2025,27.0,2,53.0
183,671,2025,17.0,1,27.0
183,675,2025,12.0,3,25.0
19,561,2023,43.0,4,59.0
19,589,2024,55.0,3,73.0
19,608,2024,51.0,1,63.0
19,612,2024,17.0,2,57.0
19,657,2025,38.0,3,70.0
19,663,2025,30.0,3,68.0
19,672,2025,44.0,1,69.0
191,588,2024,79.0,1,50.0
191,631,2025,16.0,4,47.0
191,662,2025,61.0,4,85.0
191,664,2025,39.0,1,45.0
191,671,2025,5.0,4,53.0
205,573,2023,24.0,4,17.0
205,575,2024,17.0,2,6.0
205,581,2024,2.0,3,29.0
205,584,2024,24.0,2,65.0
205,588,2024,36.0,3,79.0
205,598,2024,45.0,1,66.0
205,612,2024,18.0,3,54.0
205,618,2024,3.0,4,35.0
205,625,2024,23.0,4,52.0
205,628,2025,11.0,1,16.0
205,655,2025,49.0,1,62.0
205,663,2025,11.0,4,49.0
205,674,2025,20.0,4,87.0
205,676,2025,16.0,1,28.0
213,573,2023,54.0,3,43.0
213,588,2024,56.0,4,71.0
213,613,2024,36.0,3,75.0
213,625,2024,83.0,3,80.0
213,665,2025,48.0,4,92.0
213,674,2025,35.0,3,50.0
221,563,2023,62.0,3,44.0
221,582,2024,83.0,2,65.0
221,584,2024,32.0,1,23.0
221,590,2024,54.0,4,68.0
221,594,2024,16.0,3,61.0
221,661,2025,59.0,1,78.0
221,665,2025,21.0,1,34.0
