resource_id,coluna,sempre_nula
d5f956ce-7e1f-4c74-839b-06cb490c3721,OBJECTID,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,CBAIRRCODI,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,VBAIRROID,True
d5f956ce-7e1f-4c74-839b-06cb490c3721,EBAIRRNOME,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,CRPAAACODI,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,CMICROCODI,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,TBAIRRULAT,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,CEMPRECODI,True
d5f956ce-7e1f-4c74-839b-06cb490c3721,AUSUACMATR,True
d5f956ce-7e1f-4c74-839b-06cb490c3721,EBAIRRNOMEOF,False
d5f956ce-7e1f-4c74-839b-06cb490c3721,EBAIRRLINK,True
d5f956ce-7e1f-4c74-839b-06cb490c3721,TBAIRRSULAT,True
d5f956ce-7e1f-4c74-839b-06cb490c3721,DB2GSE.ST_Area(SHAPE),False
d5f956ce-7e1f-4c74-839b-06cb490c3721,DB2GSE.SdeLength(SHAPE),False
